# composition,0.637LiCl-0.363KCl
# source,Jiang, 2016
# temperature_K,750
# raw_file,0.637LiCl-0.363KCl_Jiang_2016_750.0_RIM.csv
# savgol,True
# grid_points,2000
r (A),K-Cl,Li-Cl
0.0,0.0,0.0
0.0039825943871935965,0.0,0.0
0.007965188774387193,0.0,0.0
0.01194778316158079,0.0,0.0
0.015930377548774386,0.0,0.0
0.019912971935967982,0.0,0.0
0.02389556632316158,0.0,0.0
0.027878160710355177,0.0,0.0
0.03186075509754877,0.0,0.0
0.03584334948474237,0.0,0.0
0.039825943871935963,0.0,0.0
0.04380853825912956,0.0,0.0
0.04779113264632316,0.0,0.0
0.05177372703351676,0.0,0.0
0.05575632142071035,0.0,0.0
0.05973891580790395,0.0,0.0
0.06372151019509754,0.0,0.0
0.06770410458229115,0.0,0.0
0.07168669896948474,0.0,0.0
0.07566929335667834,0.0,0.0
0.07965188774387193,0.0,0.0
0.08363448213106553,0.0,0.0
0.08761707651825912,0.0,0.0
0.09159967090545272,0.0,0.0
0.09558226529264632,0.0,0.0
0.09956485967983991,0.0,0.0
0.10354745406703351,0.0,0.0
0.1075300484542271,0.0,0.0
0.1115126428414207,0.0,0.0
0.1154952372286143,0.0,0.0
0.1194778316158079,0.0,0.0
0.12346042600300149,0.0,0.0
0.1274430203901951,0.0,0.0
0.13142561477738868,0.0,0.0
0.1354082091645823,0.0,0.0
0.13939080355177588,0.0,0.0
0.14337339793896947,0.0,0.0
0.14735599232616306,0.0,0.0
0.15133858671335668,0.0,0.0
0.15532118110055027,0.0,0.0
0.15930377548774385,0.0,0.0
0.16328636987493747,0.0,0.0
0.16726896426213106,0.0,0.0
0.17125155864932465,0.0,0.0
0.17523415303651824,0.0,0.0
0.17921674742371185,0.0,0.0
0.18319934181090544,0.0,0.0
0.18718193619809903,0.0,0.0
0.19116453058529265,0.0,0.0
0.19514712497248624,0.0,0.0
0.19912971935967982,0.0,0.0
0.2031123137468734,0.0,0.0
0.20709490813406703,0.0,0.0
0.21107750252126062,0.0,0.0
0.2150600969084542,0.0,0.0
0.2190426912956478,0.0,0.0
0.2230252856828414,0.0,0.0
0.227007880070035,0.0,0.0
0.2309904744572286,0.0,0.0
0.2349730688444222,0.0,0.0
0.2389556632316158,0.0,0.0
0.24293825761880938,0.0,0.0
0.24692085200600297,0.0,0.0
0.25090344639319656,0.0,0.0
0.2548860407803902,0.0,0.0
0.2588686351675838,0.0,0.0
0.26285122955477735,0.0,0.0
0.26683382394197097,0.0,0.0
0.2708164183291646,0.0,0.0
0.27479901271635815,0.0,0.0
0.27878160710355177,0.0,0.0
0.2827642014907453,0.0,0.0
0.28674679587793894,0.0,0.0
0.29072939026513256,0.0,0.0
0.2947119846523261,0.0,0.0
0.29869457903951974,0.0,0.0
0.30267717342671335,0.0,0.0
0.3066597678139069,0.0,0.0
0.31064236220110053,0.0,0.0
0.31462495658829415,0.0,0.0
0.3186075509754877,0.0,0.0
0.3225901453626813,0.0,0.0
0.32657273974987494,0.0,0.0
0.3305553341370685,0.0,0.0
0.3345379285242621,0.0,0.0
0.3385205229114557,0.0,0.0
0.3425031172986493,0.0,0.0
0.3464857116858429,0.0,0.0
0.3504683060730365,0.0,0.0
0.3544509004602301,0.0,0.0
0.3584334948474237,0.0,0.0
0.36241608923461727,0.0,0.0
0.3663986836218109,0.0,0.0
0.3703812780090045,0.0,0.0
0.37436387239619806,0.0,0.0
0.3783464667833917,0.0,0.0
0.3823290611705853,0.0,0.0
0.38631165555777885,0.0,0.0
0.39029424994497247,0.0,0.0
0.39427684433216603,0.0,0.0
0.39825943871935965,0.0,0.0
0.40224203310655327,0.0,0.0
0.4062246274937468,0.0,0.0
0.41020722188094044,0.0,0.0
0.41418981626813406,0.0,0.0
0.4181724106553276,0.0,0.0
0.42215500504252124,0.0,0.0
0.42613759942971485,0.0,0.0
0.4301201938169084,0.0,0.0
0.43410278820410203,0.0,0.0
0.4380853825912956,0.0,0.0
0.4420679769784892,0.0,0.0
0.4460505713656828,0.0,0.0
0.4500331657528764,0.0,0.0
0.45401576014007,0.0,0.0
0.4579983545272636,0.0,0.0
0.4619809489144572,0.0,0.0
0.4659635433016508,0.0,0.0
0.4699461376888444,0.0,0.0
0.473928732076038,0.0,0.0
0.4779113264632316,0.0,0.0
0.4818939208504252,0.0,0.0
0.48587651523761877,0.0,0.0
0.4898591096248124,0.0,0.0
0.49384170401200594,0.0,0.0
0.49782429839919956,0.0,0.0
0.5018068927863931,0.0,0.0
0.5057894871735867,0.0,0.0
0.5097720815607804,0.0,0.0
0.513754675947974,0.0,0.0
0.5177372703351676,0.0,0.0
0.5217198647223611,0.0,0.0
0.5257024591095547,0.0,0.0
0.5296850534967483,0.0,0.0
0.5336676478839419,0.0,0.0
0.5376502422711356,0.0,0.0
0.5416328366583292,0.0,0.0
0.5456154310455227,0.0,0.0
0.5495980254327163,0.0,0.0
0.5535806198199099,0.0,0.0
0.5575632142071035,0.0,0.0
