# composition,0.64NaCl-0.36UCl3
# source,Andersson, 2022
# temperature_K,1250
# raw_file,0.64NaCl-0.36UCl3_Andersson_2022_1250.0_AP.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,Na-Cl,Na-Na,Na-U,U-Cl,U-U
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0034606487773886944,0.0,0.0,0.0,0.0,0.0,0.0
0.006921297554777389,0.0,0.0,0.0,0.0,0.0,0.0
0.010381946332166082,0.0,0.0,0.0,0.0,0.0,0.0
0.013842595109554778,0.0,0.0,0.0,0.0,0.0,0.0
0.017303243886943473,0.0,0.0,0.0,0.0,0.0,0.0
0.020763892664332165,0.0,0.0,0.0,0.0,0.0,0.0
0.02422454144172086,0.0,0.0,0.0,0.0,0.0,0.0
0.027685190219109555,0.0,0.0,0.0,0.0,0.0,0.0
0.03114583899649825,0.0,0.0,0.0,0.0,0.0,0.0
0.034606487773886946,0.0,0.0,0.0,0.0,0.0,0.0
0.03806713655127564,0.0,0.0,0.0,0.0,0.0,0.0
0.04152778532866433,0.0,0.0,0.0,0.0,0.0,0.0
0.04498843410605303,0.0,0.0,0.0,0.0,0.0,0.0
0.04844908288344172,0.0,0.0,0.0,0.0,0.0,0.0
0.05190973166083042,0.0,0.0,0.0,0.0,0.0,0.0
0.05537038043821911,0.0,0.0,0.0,0.0,0.0,0.0
0.0588310292156078,0.0,0.0,0.0,0.0,0.0,0.0
0.0622916779929965,0.0,0.0,0.0,0.0,0.0,0.0
0.0657523267703852,0.0,0.0,0.0,0.0,0.0,0.0
0.06921297554777389,0.0,0.0,0.0,0.0,0.0,0.0
0.07267362432516258,0.0,0.0,0.0,0.0,0.0,0.0
0.07613427310255128,0.0,0.0,0.0,0.0,0.0,0.0
0.07959492187993997,0.0,0.0,0.0,0.0,0.0,0.0
0.08305557065732866,0.0,0.0,0.0,0.0,0.0,0.0
0.08651621943471736,0.0,0.0,0.0,0.0,0.0,0.0
0.08997686821210606,0.0,0.0,0.0,0.0,0.0,0.0
0.09343751698949475,0.0,0.0,0.0,0.0,0.0,0.0
0.09689816576688344,0.0,0.0,0.0,0.0,0.0,0.0
0.10035881454427213,0.0,0.0,0.0,0.0,0.0,0.0
0.10381946332166084,0.0,0.0,0.0,0.0,0.0,0.0
0.10728011209904953,0.0,0.0,0.0,0.0,0.0,0.0
0.11074076087643822,0.0,0.0,0.0,0.0,0.0,0.0
0.11420140965382691,0.0,0.0,0.0,0.0,0.0,0.0
0.1176620584312156,0.0,0.0,0.0,0.0,0.0,0.0
0.12112270720860431,0.0,0.0,0.0,0.0,0.0,0.0
0.124583355985993,0.0,0.0,0.0,0.0,0.0,0.0
0.12804400476338168,0.0,0.0,0.0,0.0,0.0,0.0
0.1315046535407704,0.0,0.0,0.0,0.0,0.0,0.0
0.1349653023181591,0.0,0.0,0.0,0.0,0.0,0.0
0.13842595109554778,0.0,0.0,0.0,0.0,0.0,0.0
0.14188659987293648,0.0,0.0,0.0,0.0,0.0,0.0
0.14534724865032517,0.0,0.0,0.0,0.0,0.0,0.0
0.14880789742771386,0.0,0.0,0.0,0.0,0.0,0.0
0.15226854620510255,0.0,0.0,0.0,0.0,0.0,0.0
0.15572919498249124,0.0,0.0,0.0,0.0,0.0,0.0
0.15918984375987993,0.0,0.0,0.0,0.0,0.0,0.0
0.16265049253726863,0.0,0.0,0.0,0.0,0.0,0.0
0.16611114131465732,0.0,0.0,0.0,0.0,0.0,0.0
0.16957179009204604,0.0,0.0,0.0,0.0,0.0,0.0
0.17303243886943473,0.0,0.0,0.0,0.0,0.0,0.0
0.17649308764682342,0.0,0.0,0.0,0.0,0.0,0.0
0.1799537364242121,0.0,0.0,0.0,0.0,0.0,0.0
0.1834143852016008,0.0,0.0,0.0,0.0,0.0,0.0
0.1868750339789895,0.0,0.0,0.0,0.0,0.0,0.0
0.1903356827563782,0.0,0.0,0.0,0.0,0.0,0.0
0.19379633153376688,0.0,0.0,0.0,0.0,0.0,0.0
0.19725698031115557,0.0,0.0,0.0,0.0,0.0,0.0
0.20071762908854426,0.0,0.0,0.0,0.0,0.0,0.0
0.20417827786593298,0.0,0.0,0.0,0.0,0.0,0.0
0.20763892664332168,0.0,0.0,0.0,0.0,0.0,0.0
0.21109957542071037,0.0,0.0,0.0,0.0,0.0,0.0
0.21456022419809906,0.0,0.0,0.0,0.0,0.0,0.0
0.21802087297548775,0.0,0.0,0.0,0.0,0.0,0.0
0.22148152175287644,0.0,0.0,0.0,0.0,0.0,0.0
0.22494217053026513,0.0,0.0,0.0,0.0,0.0,0.0
