# composition,0.465LiF-0.115NaF-0.42KF
# source,Frandsen, 2020
# temperature_K,873
# raw_file,0.465LiF-0.115NaF-0.42KF_Frandsen_2020_873.0_AP.csv
# savgol,True
# grid_points,2000
r (A),F-F,K-F,K-K,K-Li,K-Na,Li-F,Li-Li,Li-Na,Na-F,Na-Na
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0024809738964482243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0049619477928964486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007442921689344673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009923895585792897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012404869482241121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014885843378689347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01736681727513757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.019847791171585794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02232876506803402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.024809738964482242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.027290712860930467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.029771686757378693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03225266065382692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03473363455027514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03721460844672336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03969558234317159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.042176556239619814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04465753013606804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04713850403251626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.049619477928964484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05210045182541271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.054581425721860935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05706239961830916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.059543373514757386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.062024347411205605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06450532130765384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06698629520410206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06946726910055027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07194824299699851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07442921689344673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07691019078989496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07939116468634318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0818721385827914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
