# composition,1.0SrCl2
# source,McGreevy, 1987
# temperature_K,1198
# raw_file,SrCl2_McGreevy_1987_1198.0_Exp.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,Sr-Cl,Sr-Sr
0.0,0.0,0.0,0.0
0.0067920235167583795,0.0,0.0,0.0
0.013584047033516759,0.0,0.0,0.0
0.020376070550275138,0.0,0.0,0.0
0.027168094067033518,0.0,0.0,0.0
0.033960117583791895,0.0,0.0,0.0
0.040752141100550275,0.0,0.0,0.0
0.047544164617308655,0.0,0.0,0.0
0.054336188134067036,0.0,0.0,0.0
0.061128211650825416,0.0,0.0,0.0
0.06792023516758379,0.0,0.0,0.0
0.07471225868434217,0.0,0.0,0.0
0.08150428220110055,0.0,0.0,0.0
0.08829630571785893,0.0,0.0,0.0
0.09508832923461731,0.0,0.0,0.0
0.10188035275137569,0.0,0.0,0.0
0.10867237626813407,0.0,0.0,0.0
0.11546439978489245,0.0,0.0,0.0
0.12225642330165083,0.0,0.0,0.0
0.1290484468184092,0.0,0.0,0.0
0.13584047033516758,0.0,0.0,0.0
0.14263249385192597,0.0,0.0,0.0
0.14942451736868434,0.0,0.0,0.0
0.15621654088544273,0.0,0.0,0.0
0.1630085644022011,0.0,0.0,0.0
0.1698005879189595,0.0,0.0,0.0
0.17659261143571786,0.0,0.0,0.0
0.18338463495247626,0.0,0.0,0.0
0.19017665846923462,0.0,0.0,0.0
0.19696868198599302,0.0,0.0,0.0
0.20376070550275138,0.0,0.0,0.0
0.21055272901950978,0.0,0.0,0.0
0.21734475253626814,0.0,0.0,0.0
0.2241367760530265,0.0,0.0,0.0
0.2309287995697849,0.0,0.0,0.0
0.23772082308654327,0.0,0.0,0.0
0.24451284660330166,0.0,0.0,0.0
0.25130487012006003,0.0,0.0,0.0
0.2580968936368184,0.0,0.0,0.0
0.2648889171535768,0.0,0.0,0.0
0.27168094067033516,0.0,0.0,0.0
0.27847296418709355,0.0,0.0,0.0
0.28526498770385195,0.0,0.0,0.0
0.29205701122061034,0.0,0.0,0.0
0.2988490347373687,0.0,0.0,0.0
0.3056410582541271,0.0,0.0,0.0
0.31243308177088547,0.0,0.0,0.0
0.31922510528764386,0.0,0.0,0.0
0.3260171288044022,0.0,0.0,0.0
0.3328091523211606,0.0,0.0,0.0
0.339601175837919,0.0,0.0,0.0
0.34639319935467733,0.0,0.0,0.0
0.3531852228714357,0.0,0.0,0.0
0.3599772463881941,0.0,0.0,0.0
0.3667692699049525,0.0,0.0,0.0
0.37356129342171085,0.0,0.0,0.0
0.38035331693846924,0.0,0.0,0.0
0.38714534045522764,0.0,0.0,0.0
0.39393736397198603,0.0,0.0,0.0
0.40072938748874437,0.0,0.0,0.0
0.40752141100550276,0.0,0.0,0.0
0.41431343452226116,0.0,0.0,0.0
0.42110545803901955,0.0,0.0,0.0
0.4278974815557779,0.0,0.0,0.0
0.4346895050725363,0.0,0.0,0.0
0.4414815285892947,0.0,0.0,0.0
0.448273552106053,0.0,0.0,0.0
0.4550655756228114,0.0,0.0,0.0
0.4618575991395698,0.0,0.0,0.0
0.4686496226563282,0.0,0.0,0.0
0.47544164617308654,0.0,0.0,0.0
0.48223366968984493,0.0,0.0,0.0
0.48902569320660333,0.0,0.0,0.0
0.4958177167233617,0.0,0.0,0.0
0.5026097402401201,0.0,0.0,0.0
0.5094017637568785,0.0,0.0,0.0
0.5161937872736369,0.0,0.0,0.0
0.5229858107903952,0.0,0.0,0.0
0.5297778343071536,0.0,0.0,0.0
0.536569857823912,0.0,0.0,0.0
0.5433618813406703,0.0,0.0,0.0
0.5501539048574288,0.0,0.0,0.0
0.5569459283741871,0.0,0.0,0.0
0.5637379518909454,0.0,0.0,0.0
0.5705299754077039,0.0,0.0,0.0
0.5773219989244622,0.0,0.0,0.0
0.5841140224412207,0.0,0.0,0.0
0.590906045957979,0.0,0.0,0.0
0.5976980694747374,0.0,0.0,0.0
0.6044900929914958,0.0,0.0,0.0
0.6112821165082541,0.0,0.0,0.0
0.6180741400250125,0.0,0.0,0.0
0.6248661635417709,0.0,0.0,0.0
0.6316581870585293,0.0,0.0,0.0
0.6384502105752877,0.0,0.0,0.0
0.6452422340920461,0.0,0.0,0.0
0.6520342576088044,0.0,0.0,0.0
0.6588262811255629,0.0,0.0,0.0
0.6656183046423212,0.0,0.0,0.0
0.6724103281590795,0.0,0.0,0.0
0.679202351675838,0.0,0.0,0.0
0.6859943751925963,0.0,0.0,0.0
0.6927863987093547,0.0,0.0,0.0
0.6995784222261131,0.0,0.0,0.0
0.7063704457428714,0.0,0.0,0.0
0.7131624692596299,0.0,0.0,0.0
0.7199544927763882,0.0,0.0,0.0
0.7267465162931466,0.0,0.0,0.0
0.733538539809905,0.0,0.0,0.0
0.7403305633266634,0.0,0.0,0.0
0.7471225868434217,0.0,0.0,0.0
0.7539146103601801,0.0,0.0,0.0
0.7607066338769385,0.0,0.0,0.0
0.7674986573936968,0.0,0.0,0.0
0.7742906809104553,0.0,0.0,0.0
0.7810827044272136,0.0,0.0,0.0
0.7878747279439721,0.0,0.0,0.0
0.7946667514607304,0.0,0.0,0.0
0.8014587749774887,0.0,0.0,0.0
0.8082507984942472,0.0,0.0,0.0
0.8150428220110055,0.0,0.0,0.0
0.8218348455277639,0.0,0.0,0.0
0.8286268690445223,0.0,0.0,0.0
0.8354188925612807,0.0,0.0,0.0
0.8422109160780391,0.0,0.0,0.0
0.8490029395947974,0.0,0.0,0.0
0.8557949631115558,0.0,0.0,0.0
0.8625869866283142,0.0,0.0,0.0
0.8693790101450726,0.0,0.0,0.0
0.8761710336618309,0.0,0.0,0.0
0.8829630571785894,0.0,0.0,0.0
0.8897550806953477,0.0,0.0,0.0
