# composition,0.718KCl-0.282CaCl2
# source,Wei, 2022
# temperature_K,1300
# raw_file,0.718KCl-0.282CaCl2_Wei_2022_1300.0_RIM.csv
# savgol,True
# grid_points,2000
r (A),Ca-Ca,Ca-Cl,Ca-K,Cl-Cl,K-Cl,K-K
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007400784932466233,0.0,0.0,0.0,0.0,0.0,0.0
0.014801569864932466,0.0,0.0,0.0,0.0,0.0,0.0
0.0222023547973987,0.0,0.0,0.0,0.0,0.0,0.0
0.029603139729864933,0.0,0.0,0.0,0.0,0.0,0.0
0.03700392466233117,0.0,0.0,0.0,0.0,0.0,0.0
0.0444047095947974,0.0,0.0,0.0,0.0,0.0,0.0
0.05180549452726363,0.0,0.0,0.0,0.0,0.0,0.0
0.059206279459729866,0.0,0.0,0.0,0.0,0.0,0.0
0.0666070643921961,0.0,0.0,0.0,0.0,0.0,0.0
0.07400784932466234,0.0,0.0,0.0,0.0,0.0,0.0
0.08140863425712856,0.0,0.0,0.0,0.0,0.0,0.0
0.0888094191895948,0.0,0.0,0.0,0.0,0.0,0.0
0.09621020412206104,0.0,0.0,0.0,0.0,0.0,0.0
0.10361098905452726,0.0,0.0,0.0,0.0,0.0,0.0
0.1110117739869935,0.0,0.0,0.0,0.0,0.0,0.0
0.11841255891945973,0.0,0.0,0.0,0.0,0.0,0.0
0.12581334385192597,0.0,0.0,0.0,0.0,0.0,0.0
0.1332141287843922,0.0,0.0,0.0,0.0,0.0,0.0
0.14061491371685844,0.0,0.0,0.0,0.0,0.0,0.0
0.14801569864932468,0.0,0.0,0.0,0.0,0.0,0.0
0.1554164835817909,0.0,0.0,0.0,0.0,0.0,0.0
0.16281726851425712,0.0,0.0,0.0,0.0,0.0,0.0
0.17021805344672336,0.0,0.0,0.0,0.0,0.0,0.0
0.1776188383791896,0.0,0.0,0.0,0.0,0.0,0.0
0.18501962331165583,0.0,0.0,0.0,0.0,0.0,0.0
0.19242040824412207,0.0,0.0,0.0,0.0,0.0,0.0
0.1998211931765883,0.0,0.0,0.0,0.0,0.0,0.0
0.20722197810905452,0.0,0.0,0.0,0.0,0.0,0.0
0.21462276304152075,0.0,0.0,0.0,0.0,0.0,0.0
0.222023547973987,0.0,0.0,0.0,0.0,0.0,0.0
0.22942433290645323,0.0,0.0,0.0,0.0,0.0,0.0
0.23682511783891946,0.0,0.0,0.0,0.0,0.0,0.0
0.2442259027713857,0.0,0.0,0.0,0.0,0.0,0.0
0.25162668770385194,0.0,0.0,0.0,0.0,0.0,0.0
0.25902747263631815,0.0,0.0,0.0,0.0,0.0,0.0
0.2664282575687844,0.0,0.0,0.0,0.0,0.0,0.0
0.2738290425012506,0.0,0.0,0.0,0.0,0.0,0.0
0.2812298274337169,0.0,0.0,0.0,0.0,0.0,0.0
0.2886306123661831,0.0,0.0,0.0,0.0,0.0,0.0
0.29603139729864936,0.0,0.0,0.0,0.0,0.0,0.0
0.30343218223111557,0.0,0.0,0.0,0.0,0.0,0.0
0.3108329671635818,0.0,0.0,0.0,0.0,0.0,0.0
0.31823375209604804,0.0,0.0,0.0,0.0,0.0,0.0
0.32563453702851425,0.0,0.0,0.0,0.0,0.0,0.0
0.3330353219609805,0.0,0.0,0.0,0.0,0.0,0.0
0.3404361068934467,0.0,0.0,0.0,0.0,0.0,0.0
0.347836891825913,0.0,0.0,0.0,0.0,0.0,0.0
0.3552376767583792,0.0,0.0,0.0,0.0,0.0,0.0
0.3626384616908454,0.0,0.0,0.0,0.0,0.0,0.0
0.37003924662331167,0.0,0.0,0.0,0.0,0.0,0.0
0.3774400315557779,0.0,0.0,0.0,0.0,0.0,0.0
0.38484081648824414,0.0,0.0,0.0,0.0,0.0,0.0
0.39224160142071035,0.0,0.0,0.0,0.0,0.0,0.0
0.3996423863531766,0.0,0.0,0.0,0.0,0.0,0.0
0.4070431712856428,0.0,0.0,0.0,0.0,0.0,0.0
0.41444395621810903,0.0,0.0,0.0,0.0,0.0,0.0
0.4218447411505753,0.0,0.0,0.0,0.0,0.0,0.0
0.4292455260830415,0.0,0.0,0.0,0.0,0.0,0.0
0.43664631101550777,0.0,0.0,0.0,0.0,0.0,0.0
0.444047095947974,0.0,0.0,0.0,0.0,0.0,0.0
0.45144788088044024,0.0,0.0,0.0,0.0,0.0,0.0
0.45884866581290645,0.0,0.0,0.0,0.0,0.0,0.0
0.4662494507453727,0.0,0.0,0.0,0.0,0.0,0.0
0.4736502356778389,0.0,0.0,0.0,0.0,0.0,0.0
0.48105102061030514,0.0,0.0,0.0,0.0,0.0,0.0
0.4884518055427714,0.0,0.0,0.0,0.0,0.0,0.0
0.4958525904752376,0.0,0.0,0.0,0.0,0.0,0.0
0.5032533754077039,0.0,0.0,0.0,0.0,0.0,0.0
0.5106541603401701,0.0,0.0,0.0,0.0,0.0,0.0
0.5180549452726363,0.0,0.0,0.0,0.0,0.0,0.0
0.5254557302051026,0.0,0.0,0.0,0.0,0.0,0.0
0.5328565151375688,0.0,0.0,0.0,0.0,0.0,0.0
0.540257300070035,0.0,0.0,0.0,0.0,0.0,0.0
0.5476580850025012,0.0,0.0,0.0,0.0,0.0,0.0
0.5550588699349674,0.0,0.0,0.0,0.0,0.0,0.0
0.5624596548674338,0.0,0.0,0.0,0.0,0.0,0.0
0.5698604397999,0.0,0.0,0.0,0.0,0.0,0.0
0.5772612247323662,0.0,0.0,0.0,0.0,0.0,0.0
0.5846620096648324,0.0,0.0,0.0,0.0,0.0,0.0
0.5920627945972987,0.0,0.0,0.0,0.0,0.0,0.0
0.5994635795297649,0.0,0.0,0.0,0.0,0.0,0.0
0.6068643644622311,0.0,0.0,0.0,0.0,0.0,0.0
0.6142651493946973,0.0,0.0,0.0,0.0,0.0,0.0
0.6216659343271635,0.0,0.0,0.0,0.0,0.0,0.0
0.6290667192596299,0.0,0.0,0.0,0.0,0.0,0.0
0.6364675041920961,0.0,0.0,0.0,0.0,0.0,0.0
0.6438682891245623,0.0,0.0,0.0,0.0,0.0,0.0
0.6512690740570285,0.0,0.0,0.0,0.0,0.0,0.0
0.6586698589894947,0.0,0.0,0.0,0.0,0.0,0.0
0.666070643921961,0.0,0.0,0.0,0.0,0.0,0.0
0.6734714288544272,0.0,0.0,0.0,0.0,0.0,0.0
0.6808722137868934,0.0,0.0,0.0,0.0,0.0,0.0
0.6882729987193597,0.0,0.0,0.0,0.0,0.0,0.0
0.695673783651826,0.0,0.0,0.0,0.0,0.0,0.0
0.7030745685842922,0.0,0.0,0.0,0.0,0.0,0.0
0.7104753535167584,0.0,0.0,0.0,0.0,0.0,0.0
0.7178761384492246,0.0,0.0,0.0,0.0,0.0,0.0
0.7252769233816908,0.0,0.0,0.0,0.0,0.0,0.0
0.7326777083141571,0.0,0.0,0.0,0.0,0.0,0.0
0.7400784932466233,0.0,0.0,0.0,0.0,0.0,0.0
0.7474792781790895,0.0,0.0,0.0,0.0,0.0,0.0
0.7548800631115558,0.0,0.0,0.0,0.0,0.0,0.0
0.7622808480440221,0.0,0.0,0.0,0.0,0.0,0.0
0.7696816329764883,0.0,0.0,0.0,0.0,0.0,0.0
0.7770824179089545,0.0,0.0,0.0,0.0,0.0,0.0
0.7844832028414207,0.0,0.0,0.0,0.0,0.0,0.0
0.7918839877738869,0.0,0.0,0.0,0.0,0.0,0.0
0.7992847727063532,0.0,0.0,0.0,0.0,0.0,0.0
0.8066855576388194,0.0,0.0,0.0,0.0,0.0,0.0
0.8140863425712856,0.0,0.0,0.0,0.0,0.0,0.0
0.8214871275037519,0.0,0.0,0.0,0.0,0.0,0.0
0.8288879124362181,0.0,0.0,0.0,0.0,0.0,0.0
0.8362886973686844,0.0,0.0,0.0,0.0,0.0,0.0
0.8436894823011506,0.0,0.0,0.0,0.0,0.0,0.0
0.8510902672336168,0.0,0.0,0.0,0.0,0.0,0.0
0.858491052166083,0.0,0.0,0.0,0.0,0.0,0.0
0.8658918370985493,0.0,0.0,0.0,0.0,0.0,0.0
0.8732926220310155,0.0,0.0,0.0,0.0,0.0,0.0
0.8806934069634818,0.0,0.0,0.0,0.0,0.0,0.0
0.888094191895948,0.0,0.0,0.0,0.0,0.0,0.0
0.8954949768284142,0.0,0.0,0.0,0.0,0.0,0.0
0.9028957617608805,0.0,0.0,0.0,0.0,0.0,0.0
0.9102965466933467,0.0,0.0,0.0,0.0,0.0,0.0
0.9176973316258129,0.0,0.0,0.0,0.0,0.0,0.0
0.9250981165582791,0.0,0.0,0.0,0.0,0.0,0.0
0.9324989014907454,0.0,0.0,0.0,0.0,0.0,0.0
0.9398996864232116,0.0,0.0,0.0,0.0,0.0,0.0
0.9473004713556779,0.0,0.0,0.0,0.0,0.0,0.0
0.9547012562881441,0.0,0.0,0.0,0.0,0.0,0.0
0.9621020412206103,0.0,0.0,0.0,0.0,0.0,0.0
0.9695028261530766,0.0,0.0,0.0,0.0,0.0,0.0
0.9769036110855428,0.0,0.0,0.0,0.0,0.0,0.0
0.984304396018009,0.0,0.0,0.0,0.0,0.0,0.0
0.9917051809504752,0.0,0.0,0.0,0.0,0.0,0.0
