# composition,0.5NaCl-0.5KCl
# source,Manga, 2014
# temperature_K,1100
# raw_file,0.5NaCl-0.5KCl_Manga_2014_1100.0_RIM.csv
# savgol,True
# grid_points,2000
r (A),K-Cl,K-K,K-Na,Na-Cl,Na-Na
0.0,0.0,0.0,0.0,0.0,0.0
0.004962725703851926,0.0,0.0,0.0,0.0,0.0
0.009925451407703852,0.0,0.0,0.0,0.0,0.0
0.014888177111555777,0.0,0.0,0.0,0.0,0.0
0.019850902815407703,0.0,0.0,0.0,0.0,0.0
0.02481362851925963,0.0,0.0,0.0,0.0,0.0
0.029776354223111555,0.0,0.0,0.0,0.0,0.0
0.034739079926963484,0.0,0.0,0.0,0.0,0.0
0.03970180563081541,0.0,0.0,0.0,0.0,0.0
0.04466453133466733,0.0,0.0,0.0,0.0,0.0
0.04962725703851926,0.0,0.0,0.0,0.0,0.0
0.05458998274237119,0.0,0.0,0.0,0.0,0.0
0.05955270844622311,0.0,0.0,0.0,0.0,0.0
0.06451543415007503,0.0,0.0,0.0,0.0,0.0
0.06947815985392697,0.0,0.0,0.0,0.0,0.0
0.07444088555777889,0.0,0.0,0.0,0.0,0.0
0.07940361126163081,0.0,0.0,0.0,0.0,0.0
0.08436633696548274,0.0,0.0,0.0,0.0,0.0
0.08932906266933466,0.0,0.0,0.0,0.0,0.0
0.0942917883731866,0.0,0.0,0.0,0.0,0.0
0.09925451407703852,0.0,0.0,0.0,0.0,0.0
0.10421723978089044,0.0,0.0,0.0,0.0,0.0
0.10917996548474238,0.0,0.0,0.0,0.0,0.0
0.1141426911885943,0.0,0.0,0.0,0.0,0.0
0.11910541689244622,0.0,0.0,0.0,0.0,0.0
0.12406814259629814,0.0,0.0,0.0,0.0,0.0
0.12903086830015006,0.0,0.0,0.0,0.0,0.0
0.133993594004002,0.0,0.0,0.0,0.0,0.0
0.13895631970785394,0.0,0.0,0.0,0.0,0.0
0.14391904541170586,0.0,0.0,0.0,0.0,0.0
0.14888177111555778,0.0,0.0,0.0,0.0,0.0
0.1538444968194097,0.0,0.0,0.0,0.0,0.0
