# composition,0.345NaF-0.065MgF2-0.59KF
# source,Solano, 2021
# temperature_K,1073
# raw_file,0.345NaF-0.065MgF2-0.59KF_Solano_2021_1073.0_AP.csv
# savgol,True
# grid_points,2000
r (A),F-F,K-F,Mg-F,Mg-Mg,Na-F
0.0,0.0,0.0,0.0,0.0,0.0
0.002964068324662331,0.0,0.0,0.0,0.0,0.0
0.005928136649324662,0.0,0.0,0.0,0.0,0.0
0.008892204973986993,0.0,0.0,0.0,0.0,0.0
0.011856273298649325,0.0,0.0,0.0,0.0,0.0
0.014820341623311657,0.0,0.0,0.0,0.0,0.0
0.017784409947973985,0.0,0.0,0.0,0.0,0.0
0.020748478272636317,0.0,0.0,0.0,0.0,0.0
0.02371254659729865,0.0,0.0,0.0,0.0,0.0
0.02667661492196098,0.0,0.0,0.0,0.0,0.0
0.029640683246623313,0.0,0.0,0.0,0.0,0.0
0.032604751571285645,0.0,0.0,0.0,0.0,0.0
0.03556881989594797,0.0,0.0,0.0,0.0,0.0
0.0385328882206103,0.0,0.0,0.0,0.0,0.0
0.041496956545272634,0.0,0.0,0.0,0.0,0.0
0.044461024869934966,0.0,0.0,0.0,0.0,0.0
0.0474250931945973,0.0,0.0,0.0,0.0,0.0
0.05038916151925963,0.0,0.0,0.0,0.0,0.0
0.05335322984392196,0.0,0.0,0.0,0.0,0.0
0.056317298168584294,0.0,0.0,0.0,0.0,0.0
0.059281366493246626,0.0,0.0,0.0,0.0,0.0
0.06224543481790895,0.0,0.0,0.0,0.0,0.0
0.06520950314257129,0.0,0.0,0.0,0.0,0.0
0.06817357146723362,0.0,0.0,0.0,0.0,0.0
0.07113763979189594,0.0,0.0,0.0,0.0,0.0
0.07410170811655828,0.0,0.0,0.0,0.0,0.0
0.0770657764412206,0.0,0.0,0.0,0.0,0.0
0.08002984476588294,0.0,0.0,0.0,0.0,0.0
0.08299391309054527,0.0,0.0,0.0,0.0,0.0
0.08595798141520761,0.0,0.0,0.0,0.0,0.0
0.08892204973986993,0.0,0.0,0.0,0.0,0.0
0.09188611806453227,0.0,0.0,0.0,0.0,0.0
0.0948501863891946,0.0,0.0,0.0,0.0,0.0
0.09781425471385692,0.0,0.0,0.0,0.0,0.0
0.10077832303851926,0.0,0.0,0.0,0.0,0.0
0.10374239136318159,0.0,0.0,0.0,0.0,0.0
0.10670645968784392,0.0,0.0,0.0,0.0,0.0
0.10967052801250625,0.0,0.0,0.0,0.0,0.0
0.11263459633716859,0.0,0.0,0.0,0.0,0.0
0.11559866466183091,0.0,0.0,0.0,0.0,0.0
0.11856273298649325,0.0,0.0,0.0,0.0,0.0
0.12152680131115558,0.0,0.0,0.0,0.0,0.0
0.1244908696358179,0.0,0.0,0.0,0.0,0.0
0.12745493796048024,0.0,0.0,0.0,0.0,0.0
0.13041900628514258,0.0,0.0,0.0,0.0,0.0
0.1333830746098049,0.0,0.0,0.0,0.0,0.0
0.13634714293446723,0.0,0.0,0.0,0.0,0.0
0.13931121125912957,0.0,0.0,0.0,0.0,0.0
0.14227527958379188,0.0,0.0,0.0,0.0,0.0
0.14523934790845422,0.0,0.0,0.0,0.0,0.0
0.14820341623311656,0.0,0.0,0.0,0.0,0.0
0.1511674845577789,0.0,0.0,0.0,0.0,0.0
0.1541315528824412,0.0,0.0,0.0,0.0,0.0
0.15709562120710355,0.0,0.0,0.0,0.0,0.0
0.1600596895317659,0.0,0.0,0.0,0.0,0.0
0.16302375785642823,0.0,0.0,0.0,0.0,0.0
0.16598782618109054,0.0,0.0,0.0,0.0,0.0
0.16895189450575288,0.0,0.0,0.0,0.0,0.0
0.17191596283041521,0.0,0.0,0.0,0.0,0.0
0.17488003115507753,0.0,0.0,0.0,0.0,0.0
0.17784409947973986,0.0,0.0,0.0,0.0,0.0
0.1808081678044022,0.0,0.0,0.0,0.0,0.0
0.18377223612906454,0.0,0.0,0.0,0.0,0.0
0.18673630445372685,0.0,0.0,0.0,0.0,0.0
0.1897003727783892,0.0,0.0,0.0,0.0,0.0
0.19266444110305153,0.0,0.0,0.0,0.0,0.0
0.19562850942771384,0.0,0.0,0.0,0.0,0.0
0.19859257775237618,0.0,0.0,0.0,0.0,0.0
0.20155664607703852,0.0,0.0,0.0,0.0,0.0
0.20452071440170086,0.0,0.0,0.0,0.0,0.0
0.20748478272636317,0.0,0.0,0.0,0.0,0.0
0.2104488510510255,0.0,0.0,0.0,0.0,0.0
0.21341291937568785,0.0,0.0,0.0,0.0,0.0
0.21637698770035016,0.0,0.0,0.0,0.0,0.0
0.2193410560250125,0.0,0.0,0.0,0.0,0.0
0.22230512434967484,0.0,0.0,0.0,0.0,0.0
0.22526919267433718,0.0,0.0,0.0,0.0,0.0
0.2282332609989995,0.0,0.0,0.0,0.0,0.0
0.23119732932366183,0.0,0.0,0.0,0.0,0.0
0.23416139764832417,0.0,0.0,0.0,0.0,0.0
0.2371254659729865,0.0,0.0,0.0,0.0,0.0
0.24008953429764882,0.0,0.0,0.0,0.0,0.0
0.24305360262231115,0.0,0.0,0.0,0.0,0.0
0.2460176709469735,0.0,0.0,0.0,0.0,0.0
0.2489817392716358,0.0,0.0,0.0,0.0,0.0
0.25194580759629814,0.0,0.0,0.0,0.0,0.0
0.2549098759209605,0.0,0.0,0.0,0.0,0.0
0.2578739442456228,0.0,0.0,0.0,0.0,0.0
0.26083801257028516,0.0,0.0,0.0,0.0,0.0
0.26380208089494744,0.0,0.0,0.0,0.0,0.0
0.2667661492196098,0.0,0.0,0.0,0.0,0.0
0.2697302175442721,0.0,0.0,0.0,0.0,0.0
0.27269428586893446,0.0,0.0,0.0,0.0,0.0
0.2756583541935968,0.0,0.0,0.0,0.0,0.0
0.27862242251825914,0.0,0.0,0.0,0.0,0.0
0.2815864908429215,0.0,0.0,0.0,0.0,0.0
0.28455055916758376,0.0,0.0,0.0,0.0,0.0
0.2875146274922461,0.0,0.0,0.0,0.0,0.0
0.29047869581690844,0.0,0.0,0.0,0.0,0.0
0.2934427641415708,0.0,0.0,0.0,0.0,0.0
0.2964068324662331,0.0,0.0,0.0,0.0,0.0
0.29937090079089546,0.0,0.0,0.0,0.0,0.0
0.3023349691155578,0.0,0.0,0.0,0.0,0.0
0.30529903744022013,0.0,0.0,0.0,0.0,0.0
0.3082631057648824,0.0,0.0,0.0,0.0,0.0
0.31122717408954476,0.0,0.0,0.0,0.0,0.0
0.3141912424142071,0.0,0.0,0.0,0.0,0.0
0.31715531073886943,0.0,0.0,0.0,0.0,0.0
0.3201193790635318,0.0,0.0,0.0,0.0,0.0
0.3230834473881941,0.0,0.0,0.0,0.0,0.0
0.32604751571285645,0.0,0.0,0.0,0.0,0.0
0.32901158403751873,0.0,0.0,0.0,0.0,0.0
0.3319756523621811,0.0,0.0,0.0,0.0,0.0
0.3349397206868434,0.0,0.0,0.0,0.0,0.0
0.33790378901150575,0.0,0.0,0.0,0.0,0.0
0.3408678573361681,0.0,0.0,0.0,0.0,0.0
0.34383192566083043,0.0,0.0,0.0,0.0,0.0
0.34679599398549277,0.0,0.0,0.0,0.0,0.0
0.34976006231015505,0.0,0.0,0.0,0.0,0.0
0.3527241306348174,0.0,0.0,0.0,0.0,0.0
0.35568819895947973,0.0,0.0,0.0,0.0,0.0
0.35865226728414207,0.0,0.0,0.0,0.0,0.0
0.3616163356088044,0.0,0.0,0.0,0.0,0.0
0.36458040393346675,0.0,0.0,0.0,0.0,0.0
0.3675444722581291,0.0,0.0,0.0,0.0,0.0
0.37050854058279137,0.0,0.0,0.0,0.0,0.0
0.3734726089074537,0.0,0.0,0.0,0.0,0.0
0.37643667723211605,0.0,0.0,0.0,0.0,0.0
0.3794007455567784,0.0,0.0,0.0,0.0,0.0
0.3823648138814407,0.0,0.0,0.0,0.0,0.0
0.38532888220610306,0.0,0.0,0.0,0.0,0.0
0.3882929505307654,0.0,0.0,0.0,0.0,0.0
0.3912570188554277,0.0,0.0,0.0,0.0,0.0
0.39422108718009,0.0,0.0,0.0,0.0,0.0
0.39718515550475236,0.0,0.0,0.0,0.0,0.0
0.4001492238294147,0.0,0.0,0.0,0.0,0.0
0.40311329215407704,0.0,0.0,0.0,0.0,0.0
0.4060773604787394,0.0,0.0,0.0,0.0,0.0
0.4090414288034017,0.0,0.0,0.0,0.0,0.0
0.412005497128064,0.0,0.0,0.0,0.0,0.0
0.41496956545272634,0.0,0.0,0.0,0.0,0.0
0.4179336337773887,0.0,0.0,0.0,0.0,0.0
0.420897702102051,0.0,0.0,0.0,0.0,0.0
0.42386177042671336,0.0,0.0,0.0,0.0,0.0
0.4268258387513757,0.0,0.0,0.0,0.0,0.0
0.42978990707603804,0.0,0.0,0.0,0.0,0.0
0.4327539754007003,0.0,0.0,0.0,0.0,0.0
0.43571804372536266,0.0,0.0,0.0,0.0,0.0
0.438682112050025,0.0,0.0,0.0,0.0,0.0
0.44164618037468734,0.0,0.0,0.0,0.0,0.0
0.4446102486993497,0.0,0.0,0.0,0.0,0.0
0.447574317024012,0.0,0.0,0.0,0.0,0.0
0.45053838534867435,0.0,0.0,0.0,0.0,0.0
0.45350245367333664,0.0,0.0,0.0,0.0,0.0
0.456466521997999,0.0,0.0,0.0,0.0,0.0
0.4594305903226613,0.0,0.0,0.0,0.0,0.0
0.46239465864732365,0.0,0.0,0.0,0.0,0.0
0.465358726971986,0.0,0.0,0.0,0.0,0.0
0.46832279529664833,0.0,0.0,0.0,0.0,0.0
0.47128686362131067,0.0,0.0,0.0,0.0,0.0
0.474250931945973,0.0,0.0,0.0,0.0,0.0
0.4772150002706353,0.0,0.0,0.0,0.0,0.0
0.48017906859529763,0.0,0.0,0.0,0.0,0.0
0.48314313691995997,0.0,0.0,0.0,0.0,0.0
0.4861072052446223,0.0,0.0,0.0,0.0,0.0
0.48907127356928465,0.0,0.0,0.0,0.0,0.0
0.492035341893947,0.0,0.0,0.0,0.0,0.0
0.4949994102186093,0.0,0.0,0.0,0.0,0.0
0.4979634785432716,0.0,0.0,0.0,0.0,0.0
0.500927546867934,0.0,0.0,0.0,0.0,0.0
0.5038916151925963,0.0,0.0,0.0,0.0,0.0
0.5068556835172586,0.0,0.0,0.0,0.0,0.0
0.509819751841921,0.0,0.0,0.0,0.0,0.0
0.5127838201665833,0.0,0.0,0.0,0.0,0.0
0.5157478884912456,0.0,0.0,0.0,0.0,0.0
0.518711956815908,0.0,0.0,0.0,0.0,0.0
0.5216760251405703,0.0,0.0,0.0,0.0,0.0
0.5246400934652327,0.0,0.0,0.0,0.0,0.0
0.5276041617898949,0.0,0.0,0.0,0.0,0.0
0.5305682301145572,0.0,0.0,0.0,0.0,0.0
0.5335322984392196,0.0,0.0,0.0,0.0,0.0
0.5364963667638819,0.0,0.0,0.0,0.0,0.0
0.5394604350885442,0.0,0.0,0.0,0.0,0.0
0.5424245034132066,0.0,0.0,0.0,0.0,0.0
0.5453885717378689,0.0,0.0,0.0,0.0,0.0
0.5483526400625313,0.0,0.0,0.0,0.0,0.0
0.5513167083871936,0.0,0.0,0.0,0.0,0.0
0.5542807767118559,0.0,0.0,0.0,0.0,0.0
0.5572448450365183,0.0,0.0,0.0,0.0,0.0
0.5602089133611806,0.0,0.0,0.0,0.0,0.0
0.563172981685843,0.0,0.0,0.0,0.0,0.0
0.5661370500105053,0.0,0.0,0.0,0.0,0.0
0.5691011183351675,0.0,0.0,0.0,0.0,0.0
0.5720651866598299,0.0,0.0,0.0,0.0,0.0
0.5750292549844922,0.0,0.0,0.0,0.0,0.0
0.5779933233091545,0.0,0.0,0.0,0.0,0.0
0.5809573916338169,0.0,0.0,0.0,0.0,0.0
0.5839214599584792,0.0,0.0,0.0,0.0,0.0
0.5868855282831416,0.0,0.0,0.0,0.0,0.0
0.5898495966078039,0.0,0.0,0.0,0.0,0.0
0.5928136649324662,0.0,0.0,0.0,0.0,0.0
0.5957777332571286,0.0,0.0,0.0,0.0,0.0
0.5987418015817909,0.0,0.0,0.0,0.0,0.0
0.6017058699064533,0.0,0.0,0.0,0.0,0.0
0.6046699382311156,0.0,0.0,0.0,0.0,0.0
0.6076340065557779,0.0,0.0,0.0,0.0,0.0
0.6105980748804403,0.0,0.0,0.0,0.0,0.0
0.6135621432051025,0.0,0.0,0.0,0.0,0.0
0.6165262115297648,0.0,0.0,0.0,0.0,0.0
0.6194902798544272,0.0,0.0,0.0,0.0,0.0
0.6224543481790895,0.0,0.0,0.0,0.0,0.0
0.6254184165037519,0.0,0.0,0.0,0.0,0.0
0.6283824848284142,0.0,0.0,0.0,0.0,0.0
0.6313465531530765,0.0,0.0,0.0,0.0,0.0
0.6343106214777389,0.0,0.0,0.0,0.0,0.0
0.6372746898024012,0.0,0.0,0.0,0.0,0.0
0.6402387581270635,0.0,0.0,0.0,0.0,0.0
0.6432028264517259,0.0,0.0,0.0,0.0,0.0
0.6461668947763882,0.0,0.0,0.0,0.0,0.0
0.6491309631010506,0.0,0.0,0.0,0.0,0.0
0.6520950314257129,0.0,0.0,0.0,0.0,0.0
0.6550590997503751,0.0,0.0,0.0,0.0,0.0
0.6580231680750375,0.0,0.0,0.0,0.0,0.0
0.6609872363996998,0.0,0.0,0.0,0.0,0.0
0.6639513047243621,0.0,0.0,0.0,0.0,0.0
0.6669153730490245,0.0,0.0,0.0,0.0,0.0
0.6698794413736868,0.0,0.0,0.0,0.0,0.0
0.6728435096983492,0.0,0.0,0.0,0.0,0.0
0.6758075780230115,0.0,0.0,0.0,0.0,0.0
0.6787716463476738,0.0,0.0,0.0,0.0,0.0
0.6817357146723362,0.0,0.0,0.0,0.0,0.0
0.6846997829969985,0.0,0.0,0.0,0.0,0.0
0.6876638513216609,0.0,0.0,0.0,0.0,0.0
0.6906279196463232,0.0,0.0,0.0,0.0,0.0
0.6935919879709855,0.0,0.0,0.0,0.0,0.0
0.6965560562956478,0.0,0.0,0.0,0.0,0.0
0.6995201246203101,0.0,0.0,0.0,0.0,0.0
0.7024841929449724,0.0,0.0,0.0,0.0,0.0
0.7054482612696348,0.0,0.0,0.0,0.0,0.0
0.7084123295942971,0.0,0.0,0.0,0.0,0.0
0.7113763979189595,0.0,0.0,0.0,0.0,0.0
0.7143404662436218,0.0,0.0,0.0,0.0,0.0
0.7173045345682841,0.0,0.0,0.0,0.0,0.0
0.7202686028929465,0.0,0.0,0.0,0.0,0.0
0.7232326712176088,0.0,0.0,0.0,0.0,0.0
0.7261967395422712,0.0,0.0,0.0,0.0,0.0
0.7291608078669335,0.0,0.0,0.0,0.0,0.0
0.7321248761915958,0.0,0.0,0.0,0.0,0.0
0.7350889445162582,0.0,0.0,0.0,0.0,0.0
0.7380530128409204,0.0,0.0,0.0,0.0,0.0
0.7410170811655827,0.0,0.0,0.0,0.0,0.0
0.7439811494902451,0.0,0.0,0.0,0.0,0.0
0.7469452178149074,0.0,0.0,0.0,0.0,0.0
0.7499092861395698,0.0,0.0,0.0,0.0,0.0
0.7528733544642321,0.0,0.0,0.0,0.0,0.0
0.7558374227888944,0.0,0.0,0.0,0.0,0.0
0.7588014911135568,0.0,0.0,0.0,0.0,0.0
0.7617655594382191,0.0,0.0,0.0,0.0,0.0
0.7647296277628814,0.0,0.0,0.0,0.0,0.0
0.7676936960875438,0.0,0.0,0.0,0.0,0.0
0.7706577644122061,0.0,0.0,0.0,0.0,0.0
0.7736218327368685,0.0,0.0,0.0,0.0,0.0
0.7765859010615308,0.0,0.0,0.0,0.0,0.0
0.7795499693861931,0.0,0.0,0.0,0.0,0.0
0.7825140377108554,0.0,0.0,0.0,0.0,0.0
0.7854781060355177,0.0,0.0,0.0,0.0,0.0
0.78844217436018,0.0,0.0,0.0,0.0,0.0
0.7914062426848424,0.0,0.0,0.0,0.0,0.0
0.7943703110095047,0.0,0.0,0.0,0.0,0.0
0.7973343793341671,0.0,0.0,0.0,0.0,0.0
0.8002984476588294,0.0,0.0,0.0,0.0,0.0
0.8032625159834917,0.0,0.0,0.0,0.0,0.0
0.8062265843081541,0.0,0.0,0.0,0.0,0.0
0.8091906526328164,0.0,0.0,0.0,0.0,0.0
0.8121547209574788,0.0,0.0,0.0,0.0,0.0
0.8151187892821411,0.0,0.0,0.0,0.0,0.0
0.8180828576068034,0.0,0.0,0.0,0.0,0.0
0.8210469259314658,0.0,0.0,0.0,0.0,0.0
0.824010994256128,0.0,0.0,0.0,0.0,0.0
0.8269750625807903,0.0,0.0,0.0,0.0,0.0
0.8299391309054527,0.0,0.0,0.0,0.0,0.0
0.832903199230115,0.0,0.0,0.0,0.0,0.0
0.8358672675547774,0.0,0.0,0.0,0.0,0.0
0.8388313358794397,0.0,0.0,0.0,0.0,0.0
0.841795404204102,0.0,0.0,0.0,0.0,0.0
0.8447594725287644,0.0,0.0,0.0,0.0,0.0
0.8477235408534267,0.0,0.0,0.0,0.0,0.0
0.850687609178089,0.0,0.0,0.0,0.0,0.0
0.8536516775027514,0.0,0.0,0.0,0.0,0.0
0.8566157458274137,0.0,0.0,0.0,0.0,0.0
0.8595798141520761,0.0,0.0,0.0,0.0,0.0
0.8625438824767384,0.0,0.0,0.0,0.0,0.0
0.8655079508014006,0.0,0.0,0.0,0.0,0.0
0.868472019126063,0.0,0.0,0.0,0.0,0.0
0.8714360874507253,0.0,0.0,0.0,0.0,0.0
0.8744001557753877,0.0,0.0,0.0,0.0,0.0
0.87736422410005,0.0,0.0,0.0,0.0,0.0
0.8803282924247123,0.0,0.0,0.0,0.0,0.0
0.8832923607493747,0.0,0.0,0.0,0.0,0.0
0.886256429074037,0.0,0.0,0.0,0.0,0.0
0.8892204973986993,0.0,0.0,0.0,0.0,0.0
0.8921845657233617,0.0,0.0,0.0,0.0,0.0
0.895148634048024,0.0,0.0,0.0,0.0,0.0
0.8981127023726864,0.0,0.0,0.0,0.0,0.0
0.9010767706973487,0.0,0.0,0.0,0.0,0.0
0.904040839022011,0.0,0.0,0.0,0.0,0.0
0.9070049073466733,0.0,0.0,0.0,0.0,0.0
0.9099689756713356,0.0,0.0,0.0,0.0,0.0
0.912933043995998,0.0,0.0,0.0,0.0,0.0
0.9158971123206603,0.0,0.0,0.0,0.0,0.0
0.9188611806453226,0.0,0.0,0.0,0.0,0.0
0.921825248969985,0.0,0.0,0.0,0.0,0.0
0.9247893172946473,0.0,0.0,0.0,0.0,0.0
0.9277533856193096,0.0,0.0,0.0,0.0,0.0
0.930717453943972,0.0,0.0,0.0,0.0,0.0
0.9336815222686343,0.0,0.0,0.0,0.0,0.0
0.9366455905932967,0.0,0.0,0.0,0.0,0.0
0.939609658917959,0.0,0.0,0.0,0.0,0.0
0.9425737272426213,0.0,0.0,0.0,0.0,0.0
0.9455377955672837,0.0,0.0,0.0,0.0,0.0
0.948501863891946,0.0,0.0,0.0,0.0,0.0
0.9514659322166082,0.0,0.0,0.0,0.0,0.0
0.9544300005412706,0.0,0.0,0.0,0.0,0.0
0.9573940688659329,0.0,0.0,0.0,0.0,0.0
0.9603581371905953,0.0,0.0,0.0,0.0,0.0
0.9633222055152576,0.0,0.0,0.0,0.0,0.0
0.9662862738399199,0.0,0.0,0.0,0.0,0.0
0.9692503421645823,0.0,0.0,0.0,0.0,0.0
0.9722144104892446,0.0,0.0,0.0,0.0,0.0
0.975178478813907,0.0,0.0,0.0,0.0,0.0
0.9781425471385693,0.0,0.0,0.0,0.0,0.0
0.9811066154632316,0.0,0.0,0.0,0.0,0.0
0.984070683787894,0.0,0.0,0.0,0.0,0.0
0.9870347521125563,0.0,0.0,0.0,0.0,0.0
0.9899988204372187,0.0,0.0,0.0,0.0,0.0
0.9929628887618809,0.0,0.0,0.0,0.0,0.0
0.9959269570865432,0.0,0.0,0.0,0.0,0.0
0.9988910254112056,0.0,0.0,0.0,0.0,0.0
1.001855093735868,0.0,0.0,0.0,0.0,0.0
1.0048191620605302,0.0,0.0,0.0,0.0,0.0
1.0077832303851926,0.0,0.0,0.0,0.0,0.0
1.010747298709855,0.0,0.0,0.0,0.0,0.0
1.0137113670345173,0.0,0.0,0.0,0.0,0.0
1.0166754353591796,0.0,0.0,0.0,0.0,0.0
1.019639503683842,0.0,0.0,0.0,0.0,0.0
1.0226035720085043,0.0,0.0,0.0,0.0,0.0
1.0255676403331666,0.0,0.0,0.0,0.0,0.0
1.028531708657829,0.0,0.0,0.0,0.0,0.0
1.0314957769824913,0.0,0.0,0.0,0.0,0.0
1.0344598453071536,0.0,0.0,0.0,0.0,0.0
1.037423913631816,0.0,0.0,0.0,0.0,0.0
1.0403879819564783,0.0,0.0,0.0,0.0,0.0
1.0433520502811406,0.0,0.0,0.0,0.0,0.0
1.046316118605803,0.0,0.0,0.0,0.0,0.0
1.0492801869304653,0.0,0.0,0.0,0.0,0.0
1.0522442552551277,0.0,0.0,0.0,0.0,0.0
1.0552083235797898,0.0,0.0,0.0,0.0,0.0
1.0581723919044521,0.0,0.0,0.0,0.0,0.0
1.0611364602291145,0.0,0.0,0.0,0.0,0.0
1.0641005285537768,0.0,0.0,0.0,0.0,0.0
1.0670645968784391,0.0,0.0,0.0,0.0,0.0
1.0700286652031015,0.0,0.0,0.0,0.0,0.0
1.0729927335277638,0.0,0.0,0.0,0.0,0.0
1.0759568018524261,0.0,0.0,0.0,0.0,0.0
1.0789208701770885,0.0,0.0,0.0,0.0,0.0
1.0818849385017508,0.0,0.0,0.0,0.0,0.0
1.0848490068264132,0.0,0.0,0.0,0.0,0.0
1.0878130751510755,0.0,0.0,0.0,0.0,0.0
1.0907771434757378,0.0,0.0,0.0,0.0,0.0
1.0937412118004002,0.0,0.0,0.0,0.0,0.0
1.0967052801250625,0.0,0.0,0.0,0.0,0.0
1.0996693484497249,0.0,0.0,0.0,0.0,0.0
1.1026334167743872,0.0,0.0,0.0,0.0,0.0
1.1055974850990495,0.0,0.0,0.0,0.0,0.0
1.1085615534237119,0.0,0.0,0.0,0.0,0.0
1.1115256217483742,0.0,0.0,0.0,0.0,0.0
1.1144896900730366,0.0,0.0,0.0,0.0,0.0
1.117453758397699,0.0,0.0,0.0,0.0,0.0
1.1204178267223612,0.0,0.0,0.0,0.0,0.0
1.1233818950470236,0.0,0.0,0.0,0.0,0.0
1.126345963371686,0.0,0.0,0.0,0.0,0.0
1.1293100316963482,0.0,0.0,0.0,0.0,0.0
1.1322741000210106,0.0,0.0,0.0,0.0,0.0
1.135238168345673,0.0,0.0,0.0,0.0,0.0
1.138202236670335,0.0,0.0,0.0,0.0,0.0
1.1411663049949974,0.0,0.0,0.0,0.0,0.0
1.1441303733196597,0.0,0.0,0.0,0.0,0.0
1.147094441644322,0.0,0.0,0.0,0.0,0.0
1.1500585099689844,0.0,0.0,0.0,0.0,0.0
1.1530225782936467,0.0,0.0,0.0,0.0,0.0
1.155986646618309,0.0,0.0,0.0,0.0,0.0
1.1589507149429714,0.0,0.0,0.0,0.0,0.0
1.1619147832676338,0.0,0.0,0.0,0.0,0.0
1.164878851592296,0.0,0.0,0.0,0.0,0.0
1.1678429199169584,0.0,0.0,0.0,0.0,0.0
