# composition,0.4903NaCl-0.5097CaCl2
# source,Wei, 2022
# temperature_K,1023
# raw_file,0.4903NaCl-0.5097CaCl2_Wei_2022_1023.0_RIM.csv
# savgol,True
# grid_points,2000
r (A),Ca-Ca,Ca-Cl,Ca-Na,Cl-Cl,Na-Cl,Na-Na
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007443539419709855,0.0,0.0,0.0,0.0,0.0,0.0
0.01488707883941971,0.0,0.0,0.0,0.0,0.0,0.0
0.022330618259129565,0.0,0.0,0.0,0.0,0.0,0.0
0.02977415767883942,0.0,0.0,0.0,0.0,0.0,0.0
0.037217697098549274,0.0,0.0,0.0,0.0,0.0,0.0
0.04466123651825913,0.0,0.0,0.0,0.0,0.0,0.0
0.052104775937968986,0.0,0.0,0.0,0.0,0.0,0.0
0.05954831535767884,0.0,0.0,0.0,0.0,0.0,0.0
0.0669918547773887,0.0,0.0,0.0,0.0,0.0,0.0
0.07443539419709855,0.0,0.0,0.0,0.0,0.0,0.0
0.08187893361680841,0.0,0.0,0.0,0.0,0.0,0.0
0.08932247303651826,0.0,0.0,0.0,0.0,0.0,0.0
0.09676601245622812,0.0,0.0,0.0,0.0,0.0,0.0
0.10420955187593797,0.0,0.0,0.0,0.0,0.0,0.0
0.11165309129564784,0.0,0.0,0.0,0.0,0.0,0.0
0.11909663071535768,0.0,0.0,0.0,0.0,0.0,0.0
0.12654017013506755,0.0,0.0,0.0,0.0,0.0,0.0
0.1339837095547774,0.0,0.0,0.0,0.0,0.0,0.0
0.14142724897448725,0.0,0.0,0.0,0.0,0.0,0.0
0.1488707883941971,0.0,0.0,0.0,0.0,0.0,0.0
0.15631432781390697,0.0,0.0,0.0,0.0,0.0,0.0
0.16375786723361682,0.0,0.0,0.0,0.0,0.0,0.0
0.17120140665332667,0.0,0.0,0.0,0.0,0.0,0.0
0.17864494607303652,0.0,0.0,0.0,0.0,0.0,0.0
0.18608848549274637,0.0,0.0,0.0,0.0,0.0,0.0
0.19353202491245625,0.0,0.0,0.0,0.0,0.0,0.0
0.2009755643321661,0.0,0.0,0.0,0.0,0.0,0.0
0.20841910375187594,0.0,0.0,0.0,0.0,0.0,0.0
0.2158626431715858,0.0,0.0,0.0,0.0,0.0,0.0
0.22330618259129567,0.0,0.0,0.0,0.0,0.0,0.0
0.23074972201100552,0.0,0.0,0.0,0.0,0.0,0.0
0.23819326143071537,0.0,0.0,0.0,0.0,0.0,0.0
0.24563680085042522,0.0,0.0,0.0,0.0,0.0,0.0
0.2530803402701351,0.0,0.0,0.0,0.0,0.0,0.0
0.2605238796898449,0.0,0.0,0.0,0.0,0.0,0.0
0.2679674191095548,0.0,0.0,0.0,0.0,0.0,0.0
0.27541095852926467,0.0,0.0,0.0,0.0,0.0,0.0
0.2828544979489745,0.0,0.0,0.0,0.0,0.0,0.0
0.29029803736868437,0.0,0.0,0.0,0.0,0.0,0.0
0.2977415767883942,0.0,0.0,0.0,0.0,0.0,0.0
0.30518511620810407,0.0,0.0,0.0,0.0,0.0,0.0
0.31262865562781395,0.0,0.0,0.0,0.0,0.0,0.0
0.32007219504752377,0.0,0.0,0.0,0.0,0.0,0.0
0.32751573446723364,0.0,0.0,0.0,0.0,0.0,0.0
0.33495927388694346,0.0,0.0,0.0,0.0,0.0,0.0
0.34240281330665334,0.0,0.0,0.0,0.0,0.0,0.0
0.3498463527263632,0.0,0.0,0.0,0.0,0.0,0.0
0.35728989214607304,0.0,0.0,0.0,0.0,0.0,0.0
0.3647334315657829,0.0,0.0,0.0,0.0,0.0,0.0
0.37217697098549274,0.0,0.0,0.0,0.0,0.0,0.0
0.3796205104052026,0.0,0.0,0.0,0.0,0.0,0.0
0.3870640498249125,0.0,0.0,0.0,0.0,0.0,0.0
0.3945075892446223,0.0,0.0,0.0,0.0,0.0,0.0
0.4019511286643322,0.0,0.0,0.0,0.0,0.0,0.0
0.40939466808404207,0.0,0.0,0.0,0.0,0.0,0.0
0.4168382075037519,0.0,0.0,0.0,0.0,0.0,0.0
0.42428174692346177,0.0,0.0,0.0,0.0,0.0,0.0
0.4317252863431716,0.0,0.0,0.0,0.0,0.0,0.0
0.43916882576288147,0.0,0.0,0.0,0.0,0.0,0.0
0.44661236518259134,0.0,0.0,0.0,0.0,0.0,0.0
0.45405590460230116,0.0,0.0,0.0,0.0,0.0,0.0
0.46149944402201104,0.0,0.0,0.0,0.0,0.0,0.0
0.46894298344172086,0.0,0.0,0.0,0.0,0.0,0.0
0.47638652286143074,0.0,0.0,0.0,0.0,0.0,0.0
0.4838300622811406,0.0,0.0,0.0,0.0,0.0,0.0
0.49127360170085044,0.0,0.0,0.0,0.0,0.0,0.0
0.4987171411205603,0.0,0.0,0.0,0.0,0.0,0.0
0.5061606805402702,0.0,0.0,0.0,0.0,0.0,0.0
0.5136042199599801,0.0,0.0,0.0,0.0,0.0,0.0
0.5210477593796898,0.0,0.0,0.0,0.0,0.0,0.0
0.5284912987993997,0.0,0.0,0.0,0.0,0.0,0.0
0.5359348382191096,0.0,0.0,0.0,0.0,0.0,0.0
0.5433783776388195,0.0,0.0,0.0,0.0,0.0,0.0
0.5508219170585293,0.0,0.0,0.0,0.0,0.0,0.0
0.5582654564782391,0.0,0.0,0.0,0.0,0.0,0.0
0.565708995897949,0.0,0.0,0.0,0.0,0.0,0.0
0.5731525353176589,0.0,0.0,0.0,0.0,0.0,0.0
0.5805960747373687,0.0,0.0,0.0,0.0,0.0,0.0
0.5880396141570786,0.0,0.0,0.0,0.0,0.0,0.0
0.5954831535767884,0.0,0.0,0.0,0.0,0.0,0.0
0.6029266929964983,0.0,0.0,0.0,0.0,0.0,0.0
0.6103702324162081,0.0,0.0,0.0,0.0,0.0,0.0
0.617813771835918,0.0,0.0,0.0,0.0,0.0,0.0
0.6252573112556279,0.0,0.0,0.0,0.0,0.0,0.0
0.6327008506753377,0.0,0.0,0.0,0.0,0.0,0.0
0.6401443900950475,0.0,0.0,0.0,0.0,0.0,0.0
0.6475879295147574,0.0,0.0,0.0,0.0,0.0,0.0
0.6550314689344673,0.0,0.0,0.0,0.0,0.0,0.0
0.6624750083541772,0.0,0.0,0.0,0.0,0.0,0.0
0.6699185477738869,0.0,0.0,0.0,0.0,0.0,0.0
0.6773620871935968,0.0,0.0,0.0,0.0,0.0,0.0
0.6848056266133067,0.0,0.0,0.0,0.0,0.0,0.0
0.6922491660330166,0.0,0.0,0.0,0.0,0.0,0.0
0.6996927054527264,0.0,0.0,0.0,0.0,0.0,0.0
0.7071362448724362,0.0,0.0,0.0,0.0,0.0,0.0
0.7145797842921461,0.0,0.0,0.0,0.0,0.0,0.0
0.722023323711856,0.0,0.0,0.0,0.0,0.0,0.0
0.7294668631315658,0.0,0.0,0.0,0.0,0.0,0.0
0.7369104025512757,0.0,0.0,0.0,0.0,0.0,0.0
0.7443539419709855,0.0,0.0,0.0,0.0,0.0,0.0
0.7517974813906954,0.0,0.0,0.0,0.0,0.0,0.0
0.7592410208104052,0.0,0.0,0.0,0.0,0.0,0.0
0.7666845602301151,0.0,0.0,0.0,0.0,0.0,0.0
0.774128099649825,0.0,0.0,0.0,0.0,0.0,0.0
0.7815716390695348,0.0,0.0,0.0,0.0,0.0,0.0
0.7890151784892446,0.0,0.0,0.0,0.0,0.0,0.0
0.7964587179089545,0.0,0.0,0.0,0.0,0.0,0.0
0.8039022573286644,0.0,0.0,0.0,0.0,0.0,0.0
0.8113457967483743,0.0,0.0,0.0,0.0,0.0,0.0
0.8187893361680841,0.0,0.0,0.0,0.0,0.0,0.0
0.8262328755877939,0.0,0.0,0.0,0.0,0.0,0.0
0.8336764150075038,0.0,0.0,0.0,0.0,0.0,0.0
0.8411199544272137,0.0,0.0,0.0,0.0,0.0,0.0
0.8485634938469235,0.0,0.0,0.0,0.0,0.0,0.0
0.8560070332666334,0.0,0.0,0.0,0.0,0.0,0.0
0.8634505726863432,0.0,0.0,0.0,0.0,0.0,0.0
0.870894112106053,0.0,0.0,0.0,0.0,0.0,0.0
0.8783376515257629,0.0,0.0,0.0,0.0,0.0,0.0
0.8857811909454728,0.0,0.0,0.0,0.0,0.0,0.0
0.8932247303651827,0.0,0.0,0.0,0.0,0.0,0.0
0.9006682697848925,0.0,0.0,0.0,0.0,0.0,0.0
0.9081118092046023,0.0,0.0,0.0,0.0,0.0,0.0
0.9155553486243122,0.0,0.0,0.0,0.0,0.0,0.0
0.9229988880440221,0.0,0.0,0.0,0.0,0.0,0.0
0.930442427463732,0.0,0.0,0.0,0.0,0.0,0.0
0.9378859668834417,0.0,0.0,0.0,0.0,0.0,0.0
0.9453295063031516,0.0,0.0,0.0,0.0,0.0,0.0
0.9527730457228615,0.0,0.0,0.0,0.0,0.0,0.0
0.9602165851425714,0.0,0.0,0.0,0.0,0.0,0.0
0.9676601245622812,0.0,0.0,0.0,0.0,0.0,0.0
0.975103663981991,0.0,0.0,0.0,0.0,0.0,0.0
0.9825472034017009,0.0,0.0,0.0,0.0,0.0,0.0
0.9899907428214108,0.0,0.0,0.0,0.0,0.0,0.0
0.9974342822411206,0.0,0.0,0.0,0.0,0.0,0.0
1.0048778216608305,0.0,0.0,0.0,0.0,0.0,0.0
1.0123213610805404,0.0,0.0,0.0,0.0,0.0,0.0
1.0197649005002503,0.0,0.0,0.0,0.0,0.0,0.0
1.0272084399199601,0.0,0.0,0.0,0.0,0.0,0.0
