# composition,0.66LiF-0.34BeF2
# source,Fayfar, 2024
# temperature_K,973
# raw_file,0.66LiF-0.34BeF2_Fayfar_2024_973.0_AP.csv
# savgol,True
# grid_points,2000
r (A),Be-Be,Be-F,Be-Li,F-F,Li-F,Li-Li
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0049739935257628815,0.0,0.0,0.0,0.0,0.0,0.0
0.009947987051525763,0.0,0.0,0.0,0.0,0.0,0.0
0.014921980577288645,0.0,0.0,0.0,0.0,0.0,0.0
0.019895974103051526,0.0,0.0,0.0,0.0,0.0,0.0
0.024869967628814407,0.0,0.0,0.0,0.0,0.0,0.0
0.02984396115457729,0.0,0.0,0.0,0.0,0.0,0.0
0.03481795468034017,0.0,0.0,0.0,0.0,0.0,0.0
0.03979194820610305,0.0,0.0,0.0,0.0,0.0,0.0
0.04476594173186593,0.0,0.0,0.0,0.0,0.0,0.0
0.04973993525762881,0.0,0.0,0.0,0.0,0.0,0.0
0.054713928783391694,0.0,0.0,0.0,0.0,0.0,0.0
0.05968792230915458,0.0,0.0,0.0,0.0,0.0,0.0
0.06466191583491745,0.0,0.0,0.0,0.0,0.0,0.0
0.06963590936068034,0.0,0.0,0.0,0.0,0.0,0.0
0.07460990288644322,0.0,0.0,0.0,0.0,0.0,0.0
0.0795838964122061,0.0,0.0,0.0,0.0,0.0,0.0
0.08455788993796899,0.0,0.0,0.0,0.0,0.0,0.0
0.08953188346373187,0.0,0.0,0.0,0.0,0.0,0.0
0.09450587698949475,0.0,0.0,0.0,0.0,0.0,0.0
0.09947987051525763,0.0,0.0,0.0,0.0,0.0,0.0
0.10445386404102051,0.0,0.0,0.0,0.0,0.0,0.0
0.10942785756678339,0.0,0.0,0.0,0.0,0.0,0.0
0.11440185109254628,0.0,0.0,0.0,0.0,0.0,0.0
0.11937584461830916,0.0,0.0,0.0,0.0,0.0,0.0
0.12434983814407204,0.0,0.0,0.0,0.0,0.0,0.0
0.1293238316698349,0.0,0.0,0.0,0.0,0.0,0.0
0.1342978251955978,0.0,0.0,0.0,0.0,0.0,0.0
0.13927181872136069,0.0,0.0,0.0,0.0,0.0,0.0
0.14424581224712357,0.0,0.0,0.0,0.0,0.0,0.0
0.14921980577288643,0.0,0.0,0.0,0.0,0.0,0.0
0.15419379929864932,0.0,0.0,0.0,0.0,0.0,0.0
0.1591677928244122,0.0,0.0,0.0,0.0,0.0,0.0
0.1641417863501751,0.0,0.0,0.0,0.0,0.0,0.0
0.16911577987593798,0.0,0.0,0.0,0.0,0.0,0.0
0.17408977340170084,0.0,0.0,0.0,0.0,0.0,0.0
0.17906376692746373,0.0,0.0,0.0,0.0,0.0,0.0
0.18403776045322662,0.0,0.0,0.0,0.0,0.0,0.0
0.1890117539789895,0.0,0.0,0.0,0.0,0.0,0.0
0.19398574750475236,0.0,0.0,0.0,0.0,0.0,0.0
0.19895974103051525,0.0,0.0,0.0,0.0,0.0,0.0
0.20393373455627814,0.0,0.0,0.0,0.0,0.0,0.0
0.20890772808204103,0.0,0.0,0.0,0.0,0.0,0.0
0.21388172160780392,0.0,0.0,0.0,0.0,0.0,0.0
0.21885571513356677,0.0,0.0,0.0,0.0,0.0,0.0
0.22382970865932966,0.0,0.0,0.0,0.0,0.0,0.0
0.22880370218509255,0.0,0.0,0.0,0.0,0.0,0.0
0.23377769571085544,0.0,0.0,0.0,0.0,0.0,0.0
0.23875168923661833,0.0,0.0,0.0,0.0,0.0,0.0
0.24372568276238119,0.0,0.0,0.0,0.0,0.0,0.0
0.24869967628814407,0.0,0.0,0.0,0.0,0.0,0.0
0.25367366981390693,0.0,0.0,0.0,0.0,0.0,0.0
0.2586476633396698,0.0,0.0,0.0,0.0,0.0,0.0
0.2636216568654327,0.0,0.0,0.0,0.0,0.0,0.0
0.2685956503911956,0.0,0.0,0.0,0.0,0.0,0.0
0.2735696439169585,0.0,0.0,0.0,0.0,0.0,0.0
0.27854363744272137,0.0,0.0,0.0,0.0,0.0,0.0
0.28351763096848426,0.0,0.0,0.0,0.0,0.0,0.0
0.28849162449424715,0.0,0.0,0.0,0.0,0.0,0.0
0.29346561802001003,0.0,0.0,0.0,0.0,0.0,0.0
0.29843961154577286,0.0,0.0,0.0,0.0,0.0,0.0
0.30341360507153575,0.0,0.0,0.0,0.0,0.0,0.0
0.30838759859729864,0.0,0.0,0.0,0.0,0.0,0.0
0.3133615921230615,0.0,0.0,0.0,0.0,0.0,0.0
0.3183355856488244,0.0,0.0,0.0,0.0,0.0,0.0
0.3233095791745873,0.0,0.0,0.0,0.0,0.0,0.0
0.3282835727003502,0.0,0.0,0.0,0.0,0.0,0.0
0.3332575662261131,0.0,0.0,0.0,0.0,0.0,0.0
0.33823155975187597,0.0,0.0,0.0,0.0,0.0,0.0
0.3432055532776388,0.0,0.0,0.0,0.0,0.0,0.0
0.3481795468034017,0.0,0.0,0.0,0.0,0.0,0.0
0.3531535403291646,0.0,0.0,0.0,0.0,0.0,0.0
0.35812753385492746,0.0,0.0,0.0,0.0,0.0,0.0
0.36310152738069035,0.0,0.0,0.0,0.0,0.0,0.0
0.36807552090645324,0.0,0.0,0.0,0.0,0.0,0.0
0.3730495144322161,0.0,0.0,0.0,0.0,0.0,0.0
0.378023507957979,0.0,0.0,0.0,0.0,0.0,0.0
0.3829975014837419,0.0,0.0,0.0,0.0,0.0,0.0
0.38797149500950473,0.0,0.0,0.0,0.0,0.0,0.0
0.3929454885352676,0.0,0.0,0.0,0.0,0.0,0.0
0.3979194820610305,0.0,0.0,0.0,0.0,0.0,0.0
0.4028934755867934,0.0,0.0,0.0,0.0,0.0,0.0
0.4078674691125563,0.0,0.0,0.0,0.0,0.0,0.0
0.41284146263831917,0.0,0.0,0.0,0.0,0.0,0.0
0.41781545616408206,0.0,0.0,0.0,0.0,0.0,0.0
0.42278944968984494,0.0,0.0,0.0,0.0,0.0,0.0
