# composition,0.5KCl-0.5UCl3
# source,Andersson, 2024
# temperature_K,1250
# raw_file,0.5KCl-0.5UCl3_Andersson_2024_1250.0_AP.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,K-Cl,K-K,K-U,U-Cl,U-U
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003911624295147574,0.0,0.0,0.0,0.0,0.0,0.0
0.007823248590295147,0.0,0.0,0.0,0.0,0.0,0.0
0.011734872885442721,0.0,0.0,0.0,0.0,0.0,0.0
0.015646497180590295,0.0,0.0,0.0,0.0,0.0,0.0
0.01955812147573787,0.0,0.0,0.0,0.0,0.0,0.0
0.023469745770885442,0.0,0.0,0.0,0.0,0.0,0.0
0.027381370066033014,0.0,0.0,0.0,0.0,0.0,0.0
0.03129299436118059,0.0,0.0,0.0,0.0,0.0,0.0
0.035204618656328165,0.0,0.0,0.0,0.0,0.0,0.0
0.03911624295147574,0.0,0.0,0.0,0.0,0.0,0.0
0.04302786724662331,0.0,0.0,0.0,0.0,0.0,0.0
0.046939491541770885,0.0,0.0,0.0,0.0,0.0,0.0
0.05085111583691846,0.0,0.0,0.0,0.0,0.0,0.0
0.05476274013206603,0.0,0.0,0.0,0.0,0.0,0.0
0.058674364427213604,0.0,0.0,0.0,0.0,0.0,0.0
0.06258598872236118,0.0,0.0,0.0,0.0,0.0,0.0
0.06649761301750876,0.0,0.0,0.0,0.0,0.0,0.0
0.07040923731265633,0.0,0.0,0.0,0.0,0.0,0.0
0.0743208616078039,0.0,0.0,0.0,0.0,0.0,0.0
0.07823248590295148,0.0,0.0,0.0,0.0,0.0,0.0
0.08214411019809904,0.0,0.0,0.0,0.0,0.0,0.0
0.08605573449324662,0.0,0.0,0.0,0.0,0.0,0.0
0.0899673587883942,0.0,0.0,0.0,0.0,0.0,0.0
0.09387898308354177,0.0,0.0,0.0,0.0,0.0,0.0
0.09779060737868935,0.0,0.0,0.0,0.0,0.0,0.0
0.10170223167383692,0.0,0.0,0.0,0.0,0.0,0.0
0.1056138559689845,0.0,0.0,0.0,0.0,0.0,0.0
0.10952548026413206,0.0,0.0,0.0,0.0,0.0,0.0
0.11343710455927963,0.0,0.0,0.0,0.0,0.0,0.0
0.11734872885442721,0.0,0.0,0.0,0.0,0.0,0.0
0.12126035314957478,0.0,0.0,0.0,0.0,0.0,0.0
0.12517197744472236,0.0,0.0,0.0,0.0,0.0,0.0
0.12908360173986994,0.0,0.0,0.0,0.0,0.0,0.0
0.1329952260350175,0.0,0.0,0.0,0.0,0.0,0.0
0.1369068503301651,0.0,0.0,0.0,0.0,0.0,0.0
0.14081847462531266,0.0,0.0,0.0,0.0,0.0,0.0
0.14473009892046024,0.0,0.0,0.0,0.0,0.0,0.0
0.1486417232156078,0.0,0.0,0.0,0.0,0.0,0.0
0.1525533475107554,0.0,0.0,0.0,0.0,0.0,0.0
0.15646497180590296,0.0,0.0,0.0,0.0,0.0,0.0
0.1603765961010505,0.0,0.0,0.0,0.0,0.0,0.0
0.1642882203961981,0.0,0.0,0.0,0.0,0.0,0.0
0.16819984469134566,0.0,0.0,0.0,0.0,0.0,0.0
0.17211146898649324,0.0,0.0,0.0,0.0,0.0,0.0
0.1760230932816408,0.0,0.0,0.0,0.0,0.0,0.0
0.1799347175767884,0.0,0.0,0.0,0.0,0.0,0.0
0.18384634187193596,0.0,0.0,0.0,0.0,0.0,0.0
0.18775796616708354,0.0,0.0,0.0,0.0,0.0,0.0
0.19166959046223112,0.0,0.0,0.0,0.0,0.0,0.0
0.1955812147573787,0.0,0.0,0.0,0.0,0.0,0.0
0.19949283905252627,0.0,0.0,0.0,0.0,0.0,0.0
0.20340446334767384,0.0,0.0,0.0,0.0,0.0,0.0
0.20731608764282142,0.0,0.0,0.0,0.0,0.0,0.0
0.211227711937969,0.0,0.0,0.0,0.0,0.0,0.0
0.21513933623311657,0.0,0.0,0.0,0.0,0.0,0.0
0.21905096052826412,0.0,0.0,0.0,0.0,0.0,0.0
0.2229625848234117,0.0,0.0,0.0,0.0,0.0,0.0
0.22687420911855927,0.0,0.0,0.0,0.0,0.0,0.0
0.23078583341370684,0.0,0.0,0.0,0.0,0.0,0.0
0.23469745770885442,0.0,0.0,0.0,0.0,0.0,0.0
0.238609082004002,0.0,0.0,0.0,0.0,0.0,0.0
0.24252070629914957,0.0,0.0,0.0,0.0,0.0,0.0
0.24643233059429714,0.0,0.0,0.0,0.0,0.0,0.0
0.2503439548894447,0.0,0.0,0.0,0.0,0.0,0.0
0.2542555791845923,0.0,0.0,0.0,0.0,0.0,0.0
0.25816720347973987,0.0,0.0,0.0,0.0,0.0,0.0
0.26207882777488745,0.0,0.0,0.0,0.0,0.0,0.0
0.265990452070035,0.0,0.0,0.0,0.0,0.0,0.0
0.2699020763651826,0.0,0.0,0.0,0.0,0.0,0.0
