# composition,0.6LiF-0.4NaF
# source,Grizzi, 2024
# temperature_K,1473
# raw_file,0.6LiF-0.4NaF_Grizzi_2024_1473.0_AP.csv
# savgol,True
# grid_points,2000
r (A),F-F,Li-F,Na-F
0.0,0.0,0.0,0.0
0.0028162733811905954,0.0,0.0,0.0
0.005632546762381191,0.0,0.0,0.0
0.008448820143571786,0.0,0.0,0.0
0.011265093524762381,0.0,0.0,0.0
0.014081366905952977,0.0,0.0,0.0
0.01689764028714357,0.0,0.0,0.0
0.01971391366833417,0.0,0.0,0.0
0.022530187049524763,0.0,0.0,0.0
0.025346460430715357,0.0,0.0,0.0
0.028162733811905954,0.0,0.0,0.0
0.03097900719309655,0.0,0.0,0.0
0.03379528057428714,0.0,0.0,0.0
0.03661155395547774,0.0,0.0,0.0
0.03942782733666834,0.0,0.0,0.0
0.04224410071785893,0.0,0.0,0.0
0.045060374099049526,0.0,0.0,0.0
0.04787664748024012,0.0,0.0,0.0
0.050692920861430714,0.0,0.0,0.0
0.053509194242621315,0.0,0.0,0.0
0.05632546762381191,0.0,0.0,0.0
0.0591417410050025,0.0,0.0,0.0
0.0619580143861931,0.0,0.0,0.0
0.0647742877673837,0.0,0.0,0.0
0.06759056114857429,0.0,0.0,0.0
0.07040683452976489,0.0,0.0,0.0
0.07322310791095547,0.0,0.0,0.0
0.07603938129214607,0.0,0.0,0.0
0.07885565467333668,0.0,0.0,0.0
0.08167192805452726,0.0,0.0,0.0
0.08448820143571786,0.0,0.0,0.0
0.08730447481690845,0.0,0.0,0.0
0.09012074819809905,0.0,0.0,0.0
0.09293702157928965,0.0,0.0,0.0
0.09575329496048024,0.0,0.0,0.0
0.09856956834167084,0.0,0.0,0.0
0.10138584172286143,0.0,0.0,0.0
0.10420211510405203,0.0,0.0,0.0
0.10701838848524263,0.0,0.0,0.0
0.10983466186643322,0.0,0.0,0.0
0.11265093524762382,0.0,0.0,0.0
0.1154672086288144,0.0,0.0,0.0
0.118283482010005,0.0,0.0,0.0
0.12109975539119561,0.0,0.0,0.0
0.1239160287723862,0.0,0.0,0.0
0.12673230215357678,0.0,0.0,0.0
0.1295485755347674,0.0,0.0,0.0
0.13236484891595798,0.0,0.0,0.0
0.13518112229714857,0.0,0.0,0.0
0.13799739567833919,0.0,0.0,0.0
0.14081366905952977,0.0,0.0,0.0
0.14362994244072036,0.0,0.0,0.0
0.14644621582191095,0.0,0.0,0.0
0.14926248920310156,0.0,0.0,0.0
0.15207876258429215,0.0,0.0,0.0
0.15489503596548274,0.0,0.0,0.0
0.15771130934667335,0.0,0.0,0.0
0.16052758272786394,0.0,0.0,0.0
0.16334385610905452,0.0,0.0,0.0
0.16616012949024514,0.0,0.0,0.0
0.16897640287143573,0.0,0.0,0.0
0.17179267625262631,0.0,0.0,0.0
0.1746089496338169,0.0,0.0,0.0
0.17742522301500752,0.0,0.0,0.0
0.1802414963961981,0.0,0.0,0.0
0.1830577697773887,0.0,0.0,0.0
0.1858740431585793,0.0,0.0,0.0
0.1886903165397699,0.0,0.0,0.0
0.19150658992096048,0.0,0.0,0.0
0.19432286330215107,0.0,0.0,0.0
0.19713913668334168,0.0,0.0,0.0
0.19995541006453227,0.0,0.0,0.0
0.20277168344572286,0.0,0.0,0.0
0.20558795682691347,0.0,0.0,0.0
0.20840423020810406,0.0,0.0,0.0
0.21122050358929464,0.0,0.0,0.0
0.21403677697048526,0.0,0.0,0.0
0.21685305035167585,0.0,0.0,0.0
0.21966932373286643,0.0,0.0,0.0
0.22248559711405702,0.0,0.0,0.0
0.22530187049524764,0.0,0.0,0.0
0.22811814387643822,0.0,0.0,0.0
0.2309344172576288,0.0,0.0,0.0
0.23375069063881942,0.0,0.0,0.0
0.23656696402001,0.0,0.0,0.0
0.2393832374012006,0.0,0.0,0.0
0.24219951078239121,0.0,0.0,0.0
0.2450157841635818,0.0,0.0,0.0
0.2478320575447724,0.0,0.0,0.0
0.250648330925963,0.0,0.0,0.0
0.25346460430715356,0.0,0.0,0.0
0.2562808776883442,0.0,0.0,0.0
0.2590971510695348,0.0,0.0,0.0
0.26191342445072535,0.0,0.0,0.0
0.26472969783191597,0.0,0.0,0.0
0.2675459712131066,0.0,0.0,0.0
0.27036224459429714,0.0,0.0,0.0
0.27317851797548776,0.0,0.0,0.0
0.27599479135667837,0.0,0.0,0.0
0.27881106473786893,0.0,0.0,0.0
0.28162733811905954,0.0,0.0,0.0
0.2844436115002501,0.0,0.0,0.0
0.2872598848814407,0.0,0.0,0.0
0.29007615826263133,0.0,0.0,0.0
0.2928924316438219,0.0,0.0,0.0
0.2957087050250125,0.0,0.0,0.0
0.2985249784062031,0.0,0.0,0.0
0.3013412517873937,0.0,0.0,0.0
0.3041575251685843,0.0,0.0,0.0
0.3069737985497749,0.0,0.0,0.0
0.30979007193096547,0.0,0.0,0.0
0.3126063453121561,0.0,0.0,0.0
0.3154226186933467,0.0,0.0,0.0
0.31823889207453726,0.0,0.0,0.0
0.3210551654557279,0.0,0.0,0.0
0.3238714388369185,0.0,0.0,0.0
0.32668771221810905,0.0,0.0,0.0
0.32950398559929966,0.0,0.0,0.0
0.3323202589804903,0.0,0.0,0.0
0.33513653236168084,0.0,0.0,0.0
0.33795280574287145,0.0,0.0,0.0
0.340769079124062,0.0,0.0,0.0
0.34358535250525263,0.0,0.0,0.0
0.34640162588644324,0.0,0.0,0.0
0.3492178992676338,0.0,0.0,0.0
0.3520341726488244,0.0,0.0,0.0
