r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_Sr-Cl,g(r)_weighted_Sr-Sr,S_i_Sr-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,4.584590386432836,0
0.0067920235167583,0.0,0.0,0.0,1.0,4.584590386432836,0
0.0135840470335167,0.0,0.0,0.0,1.0,4.584590386432836,0
0.0203760705502751,0.0,0.0,0.0,1.0,4.584590386432836,0
0.0271680940670335,0.0,0.0,0.0,1.0,4.584590386432836,0
0.0339601175837918,0.0,0.0,0.0,1.0,4.584590386432836,0
0.0407521411005502,0.0,0.0,0.0,1.0,4.584590386432836,0
0.0475441646173086,0.0,0.0,0.0,1.0,4.584590386432836,0
0.054336188134067,0.0,0.0,0.0,1.0,4.584590386432836,0
0.0611282116508254,0.0,0.0,0.0,1.0,4.584590386432836,0
0.0679202351675837,0.0,0.0,0.0,1.0,4.584590386432836,0
0.0747122586843421,0.0,0.0,0.0,1.0,4.584590386432836,0
0.0815042822011005,0.0,0.0,0.0,1.0,4.584590386432836,0
0.0882963057178589,0.0,0.0,0.0,1.0,4.584590386432836,0
0.0950883292346173,0.0,0.0,0.0,1.0,4.584590386432836,0
0.1018803527513756,0.0,0.0,0.0,1.0,4.584590386432836,0
0.108672376268134,0.0,0.0,0.0,1.0,4.584590386432836,0
0.1154643997848924,0.0,0.0,0.0,1.0,4.584590386432836,0
0.1222564233016508,0.0,0.0,0.0,1.0,4.584590386432836,0
0.1290484468184092,0.0,0.0,0.0,1.0,4.584590386432836,0
0.1358404703351675,0.0,0.0,0.0,1.0,4.584590386432836,0
0.1426324938519259,0.0,0.0,0.0,1.0,4.584590386432836,0
0.1494245173686843,0.0,0.0,0.0,1.0,4.584590386432836,0
0.1562165408854427,0.0,0.0,0.0,1.0,4.584590386432836,0
0.1630085644022011,0.0,0.0,0.0,1.0,4.584590386432836,0
0.1698005879189595,0.0,0.0,0.0,1.0,4.584590386432836,0
0.1765926114357178,0.0,0.0,0.0,1.0,4.584590386432836,0
0.1833846349524762,0.0,0.0,0.0,1.0,4.584590386432836,0
0.1901766584692346,0.0,0.0,0.0,1.0,4.584590386432836,0
0.196968681985993,0.0,0.0,0.0,1.0,4.584590386432836,0
0.2037607055027513,0.0,0.0,0.0,1.0,4.584590386432836,0
0.2105527290195097,0.0,0.0,0.0,1.0,4.584590386432836,0
0.2173447525362681,0.0,0.0,0.0,1.0,4.584590386432836,0
0.2241367760530265,0.0,0.0,0.0,1.0,4.584590386432836,0
0.2309287995697849,0.0,0.0,0.0,1.0,4.584590386432836,0
0.2377208230865432,0.0,0.0,0.0,1.0,4.584590386432836,0
0.2445128466033016,0.0,0.0,0.0,1.0,4.584590386432836,0
0.25130487012006,0.0,0.0,0.0,1.0,4.584590386432836,0
0.2580968936368184,0.0,0.0,0.0,1.0,4.584590386432836,0
0.2648889171535768,0.0,0.0,0.0,1.0,4.584590386432836,0
0.2716809406703351,0.0,0.0,0.0,1.0,4.584590386432836,0
0.2784729641870935,0.0,0.0,0.0,1.0,4.584590386432836,0
0.2852649877038519,0.0,0.0,0.0,1.0,4.584590386432836,0
0.2920570112206103,0.0,0.0,0.0,1.0,4.584590386432836,0
0.2988490347373687,0.0,0.0,0.0,1.0,4.584590386432836,0
0.3056410582541271,0.0,0.0,0.0,1.0,4.584590386432836,0
0.3124330817708854,0.0,0.0,0.0,1.0,4.584590386432836,0
0.3192251052876438,0.0,0.0,0.0,1.0,4.584590386432836,0
0.3260171288044022,0.0,0.0,0.0,1.0,4.584590386432836,0
0.3328091523211606,0.0,0.0,0.0,1.0,4.584590386432836,0
0.339601175837919,0.0,0.0,0.0,1.0,4.584590386432836,0
0.3463931993546773,0.0,0.0,0.0,1.0,4.584590386432836,0
0.3531852228714357,0.0,0.0,0.0,1.0,4.584590386432836,0
0.3599772463881941,0.0,0.0,0.0,1.0,4.584590386432836,0
0.3667692699049525,0.0,0.0,0.0,1.0,4.584590386432836,0
0.3735612934217108,0.0,0.0,0.0,1.0,4.584590386432836,0
0.3803533169384692,0.0,0.0,0.0,1.0,4.584590386432836,0
0.3871453404552276,0.0,0.0,0.0,1.0,4.584590386432836,0
0.393937363971986,0.0,0.0,0.0,1.0,4.584590386432836,0
0.4007293874887443,0.0,0.0,0.0,1.0,4.584590386432836,0
0.4075214110055027,0.0,0.0,0.0,1.0,4.584590386432836,0
0.4143134345222611,0.0,0.0,0.0,1.0,4.584590386432836,0
0.4211054580390195,0.0,0.0,0.0,1.0,4.584590386432836,0
0.4278974815557779,0.0,0.0,0.0,1.0,4.584590386432836,0
0.4346895050725363,0.0,0.0,0.0,1.0,4.584590386432836,0
0.4414815285892947,0.0,0.0,0.0,1.0,4.584590386432836,0
0.448273552106053,0.0,0.0,0.0,1.0,4.584590386432836,0
0.4550655756228114,0.0,0.0,0.0,1.0,4.584590386432836,0
0.4618575991395698,0.0,0.0,0.0,1.0,4.584590386432836,0
0.4686496226563282,0.0,0.0,0.0,1.0,4.584590386432836,0
0.4754416461730865,0.0,0.0,0.0,1.0,4.584590386432836,0
0.4822336696898449,0.0,0.0,0.0,1.0,4.584590386432836,0
0.4890256932066033,0.0,0.0,0.0,1.0,4.584590386432836,0
0.4958177167233617,0.0,0.0,0.0,1.0,4.584590386432836,0
0.5026097402401201,0.0,0.0,0.0,1.0,4.584590386432836,0
0.5094017637568785,0.0,0.0,0.0,1.0,4.584590386432836,0
0.5161937872736369,0.0,0.0,0.0,1.0,4.584590386432836,0
0.5229858107903952,0.0,0.0,0.0,1.0,4.584590386432836,0
0.5297778343071536,0.0,0.0,0.0,1.0,4.584590386432836,0
0.536569857823912,0.0,0.0,0.0,1.0,4.584590386432836,0
0.5433618813406703,0.0,0.0,0.0,1.0,4.584590386432836,0
0.5501539048574288,0.0,0.0,0.0,1.0,4.584590386432836,0
0.5569459283741871,0.0,0.0,0.0,1.0,4.584590386432836,0
0.5637379518909454,0.0,0.0,0.0,1.0,4.584590386432836,0
0.5705299754077039,0.0,0.0,0.0,1.0,4.584590386432836,0
0.5773219989244622,0.0,0.0,0.0,1.0,4.584590386432836,0
0.5841140224412207,0.0,0.0,0.0,1.0,4.584590386432836,0
0.590906045957979,0.0,0.0,0.0,1.0,4.584590386432836,0
0.5976980694747374,0.0,0.0,0.0,1.0,4.584590386432836,0
0.6044900929914958,0.0,0.0,0.0,1.0,4.584590386432836,0
0.6112821165082541,0.0,0.0,0.0,1.0,4.584590386432836,0
0.6180741400250125,0.0,0.0,0.0,1.0,4.584590386432836,0
0.6248661635417709,0.0,0.0,0.0,1.0,4.584590386432836,0
0.6316581870585293,0.0,0.0,0.0,1.0,4.584590386432836,0
0.6384502105752877,0.0,0.0,0.0,1.0,4.584590386432836,0
0.6452422340920461,0.0,0.0,0.0,1.0,4.584590386432836,0
0.6520342576088044,0.0,0.0,0.0,1.0,4.584590386432836,0
0.6588262811255629,0.0,0.0,0.0,1.0,4.584590386432836,0
0.6656183046423212,0.0,0.0,0.0,1.0,4.584590386432836,0
0.6724103281590795,0.0,0.0,0.0,1.0,4.584590386432836,0
0.679202351675838,0.0,0.0,0.0,1.0,4.584590386432836,0
0.6859943751925963,0.0,0.0,0.0,1.0,4.584590386432836,0
0.6927863987093547,0.0,0.0,0.0,1.0,4.584590386432836,0
0.6995784222261131,0.0,0.0,0.0,1.0,4.584590386432836,0
0.7063704457428714,0.0,0.0,0.0,1.0,4.584590386432836,0
0.7131624692596299,0.0,0.0,0.0,1.0,4.584590386432836,0
0.7199544927763882,0.0,0.0,0.0,1.0,4.584590386432836,0
0.7267465162931466,0.0,0.0,0.0,1.0,4.584590386432836,0
0.733538539809905,0.0,0.0,0.0,1.0,4.584590386432836,0
0.7403305633266634,0.0,0.0,0.0,1.0,4.584590386432836,0
0.7471225868434217,0.0,0.0,0.0,1.0,4.584590386432836,0
0.7539146103601801,0.0,0.0,0.0,1.0,4.584590386432836,0
0.7607066338769385,0.0,0.0,0.0,1.0,4.584590386432836,0
0.7674986573936968,0.0,0.0,0.0,1.0,4.584590386432836,0
0.7742906809104553,0.0,0.0,0.0,1.0,4.584590386432836,0
0.7810827044272136,0.0,0.0,0.0,1.0,4.584590386432836,0
0.7878747279439721,0.0,0.0,0.0,1.0,4.584590386432836,0
