r (A),g(r)_weighted_K-F,g(r)_weighted_K-K,g(r)_weighted_F-F,S_i_K-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.00745203423856943,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.01490406847713886,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.022356102715708287,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.02980813695427772,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.03726017119284715,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.044712205431416574,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.052164239669986005,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.05961627390855544,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.06706830814712486,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.0745203423856943,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.08197237662426372,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.08942441086283315,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.09687644510140259,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.10432847933997201,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.11178051357854145,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.11923254781711087,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.1266845820556803,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.13413661629424972,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.14158865053281916,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.1490406847713886,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.156492719009958,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.16394475324852745,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.17139678748709689,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.1788488217256663,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.18630085596423573,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.19375289020280517,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.2012049244413746,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.20865695867994402,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.21610899291851346,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.2235610271570829,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.2310130613956523,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.23846509563422175,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.24591712987279118,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.2533691641113606,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.26082119834993006,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.26827323258849944,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.2757252668270689,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.2831773010656383,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.29062933530420776,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.2980813695427772,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.30553340378134664,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.312985438019916,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.32043747225848546,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.3278895064970549,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.33534154073562433,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
0.34279357497419377,0.0,0.0,0.0,1.0,4.3774411526087,4.63533
