r (A),g(r)_weighted_K-K,g(r)_weighted_K-Cl,g(r)_weighted_Ca-K,g(r)_weighted_Cl-Cl,g(r)_weighted_Ca-Cl,g(r)_weighted_Ca-Ca,S_i_K-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.007400784932466233,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.014801569864932466,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.0222023547973987,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.029603139729864933,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.03700392466233117,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.0444047095947974,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.05180549452726363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.059206279459729866,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.0666070643921961,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.07400784932466234,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.08140863425712856,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.0888094191895948,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.09621020412206104,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.10361098905452726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.1110117739869935,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.11841255891945973,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.12581334385192597,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.1332141287843922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.14061491371685844,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.14801569864932468,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.1554164835817909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.16281726851425712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.17021805344672336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.1776188383791896,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.18501962331165583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.19242040824412207,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.1998211931765883,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.20722197810905452,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.21462276304152075,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.222023547973987,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.22942433290645323,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.23682511783891946,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
0.2442259027713857,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.122859435866436,0
