r (A),g(r)_weighted_Li-Li,g(r)_weighted_Be-F,g(r)_weighted_Be-Be,g(r)_weighted_F-F,g(r)_weighted_Be-Li,g(r)_weighted_Li-F,S_i_Be-F,S_i_Li-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.004947291179089545,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.00989458235817909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.014841873537268634,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.01978916471635818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.024736455895447724,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.02968374707453727,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.03463103825362682,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.03957832943271636,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.0445256206118059,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.04947291179089545,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.054420202969984996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.05936749414907454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.06431478532816408,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.06926207650725363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.07420936768634318,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.07915665886543272,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.08410395004452226,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.0890512412236118,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.09399853240270135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.0989458235817909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.10389311476088044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.10884040593996999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.11378769711905953,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.11873498829814907,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.12368227947723862,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.12862957065632816,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.1335768618354177,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.13852415301450727,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.1434714441935968,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.14841873537268635,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
0.1533660265517759,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9634980133458875,0
