r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_Mg-Cl,g(r)_weighted_Mg-Mg,S_i_Mg-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.0054653987993997,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.0109307975987994,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.0163961963981991,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.0218615951975988,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.0273269939969985,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.0327923927963982,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.0382577915957978,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.0437231903951976,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.0491885891945973,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.054653987993997,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.0601193867933967,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.0655847855927964,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.0710501843921961,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.0765155831915957,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.0819809819909955,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.0874463807903952,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.0929117795897949,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.0983771783891946,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.1038425771885943,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.109307975987994,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.1147733747873937,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.1202387735867934,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.1257041723861931,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.1311695711855928,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.1366349699849925,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.1421003687843922,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.1475657675837919,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.1530311663831915,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.1584965651825913,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.163961963981991,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.1694273627813907,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.1748927615807904,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.1803581603801901,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.1858235591795898,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.1912889579789894,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.1967543567783892,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.2022197555777889,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.2076851543771886,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.2131505531765883,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.218615951975988,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.2240813507753876,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.2295467495747874,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.2350121483741871,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.2404775471735868,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.2459429459729865,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.2514083447723862,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.2568737435717859,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.2623391423711856,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.2678045411705853,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.273269939969985,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.2787353387693846,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.2842007375687844,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.2896661363681841,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.2951315351675838,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.3005969339669835,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.3060623327663831,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
