r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_Li-Cl,g(r)_weighted_Li-Li,S_i_Li-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.006973550170085,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.01394710034017,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.0209206505102551,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.0278942006803401,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.0348677508504252,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.0418413010205102,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.0488148511905952,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.0557884013606803,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.0627619515307653,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.0697355017008504,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.0767090518709354,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.0836826020410205,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.0906561522111055,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.0976297023811905,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.1046032525512756,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.1115768027213606,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.1185503528914457,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.1255239030615307,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.1324974532316158,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.1394710034017008,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.1464445535717859,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.1534181037418709,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.1603916539119559,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.167365204082041,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.174338754252126,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.1813123044222111,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.1882858545922961,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.1952594047623811,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.2022329549324662,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.2092065051025513,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.2161800552726363,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.2231536054427213,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.2301271556128064,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.2371007057828914,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.2440742559529765,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.2510478061230615,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.2580213562931466,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.2649949064632316,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.2719684566333166,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.2789420068034017,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.2859155569734867,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.2928891071435718,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.2998626573136568,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.3068362074837418,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.3138097576538269,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.3207833078239119,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.327756857993997,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.334730408164082,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.3417039583341671,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.3486775085042521,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.3556510586743371,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.3626246088444222,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
0.3695981590145072,0.0,0.0,0.0,1.0,4.306356974884398,4.10511
