r (A),g(r)_weighted_Th-Th,g(r)_weighted_Th-F,g(r)_weighted_F-F,S_i_Th-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.003978907067033517,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.007957814134067034,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.01193672120110055,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.015915628268134068,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.019894535335167586,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.0238734424022011,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.02785234946923462,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.031831256536268136,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.03581016360330165,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.03978907067033517,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.043767977737368687,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.0477468848044022,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.05172579187143572,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.05570469893846924,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.05968360600550276,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.06366251307253627,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.0676414201395698,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.0716203272066033,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.07559923427363682,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.07957814134067034,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.08355704840770385,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.08753595547473737,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.0915148625417709,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.0954937696088044,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.09947267667583792,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.10345158374287144,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.10743049080990497,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.11140939787693847,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.115388304943972,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.11936721201100552,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.12334611907803902,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.12732502614507255,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.13130393321210607,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.1352828402791396,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.1392617473461731,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.1432406544132066,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.14721956148024012,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.15119846854727365,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.15517737561430717,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.1591562826813407,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.1631351897483742,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.1671140968154077,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.17109300388244122,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.17507191094947475,0.0,0.0,0.0,1.0,4.2180821979819925,0
0.17905081801650827,0.0,0.0,0.0,1.0,4.2180821979819925,0
