r (A),g(r)_weighted_F-F,g(r)_weighted_Th-F,g(r)_weighted_Th-Th,S_i_Th-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0039789070670335,0.0,0.0,0.0,1.0,4.218323466139838,0
0.007957814134067,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0119367212011005,0.0,0.0,0.0,1.0,4.218323466139838,0
0.015915628268134,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0198945353351675,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0238734424022011,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0278523494692346,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0318312565362681,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0358101636033016,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0397890706703351,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0437679777373686,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0477468848044022,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0517257918714357,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0557046989384692,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0596836060055027,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0636625130725362,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0676414201395698,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0716203272066033,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0755992342736368,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0795781413406703,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0835570484077038,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0875359554747373,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0915148625417709,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0954937696088044,0.0,0.0,0.0,1.0,4.218323466139838,0
0.0994726766758379,0.0,0.0,0.0,1.0,4.218323466139838,0
0.1034515837428714,0.0,0.0,0.0,1.0,4.218323466139838,0
0.1074304908099049,0.0,0.0,0.0,1.0,4.218323466139838,0
0.1114093978769384,0.0,0.0,0.0,1.0,4.218323466139838,0
0.115388304943972,0.0,0.0,0.0,1.0,4.218323466139838,0
0.1193672120110055,0.0,0.0,0.0,1.0,4.218323466139838,0
0.123346119078039,0.0,0.0,0.0,1.0,4.218323466139838,0
0.1273250261450725,0.0,0.0,0.0,1.0,4.218323466139838,0
0.131303933212106,0.0,0.0,0.0,1.0,4.218323466139838,0
0.1352828402791396,0.0,0.0,0.0,1.0,4.218323466139838,0
0.1392617473461731,0.0,0.0,0.0,1.0,4.218323466139838,0
0.1432406544132066,0.0,0.0,0.0,1.0,4.218323466139838,0
0.1472195614802401,0.0,0.0,0.0,1.0,4.218323466139838,0
0.1511984685472736,0.0,0.0,0.0,1.0,4.218323466139838,0
0.1551773756143071,0.0,0.0,0.0,1.0,4.218323466139838,0
0.1591562826813407,0.0,0.0,0.0,1.0,4.218323466139838,0
0.1631351897483742,0.0,0.0,0.0,1.0,4.218323466139838,0
0.1671140968154077,0.0,0.0,0.0,1.0,4.218323466139838,0
0.1710930038824412,0.0,0.0,0.0,1.0,4.218323466139838,0
