r (A),g(r)_weighted_U-F,g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Na-F,S_i_U-F,S_i_Li-F,S_i_Na-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.0028333890335167583,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.005666778067033517,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.008500167100550276,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.011333556134067033,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.01416694516758379,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.017000334201100552,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.01983372323461731,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.022667112268134067,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.025500501301650824,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.02833389033516758,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.031167279368684343,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.034000668402201104,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.03683405743571786,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.03966744646923462,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.042500835502751376,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.04533422453626813,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.04816761356978489,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.05100100260330165,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.053834391636818406,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.05666778067033516,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.05950116970385193,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.062334558737368685,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.06516794777088544,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.06800133680440221,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
0.07083472583791896,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3155373990224097,0
